case	config	profile	d_bin	epoch	rep	lane	pair	attempted	accepted	pair_finite	pair_converged	pair_iters	backtracks	verify_iters	verify_converged	scalar_certificate	driver_step	start_pair_residual	end_pair_residual	pair_step	check_worst_residual
149	149	uniform	1	0	0	cold	5,6	1	0	1	0	0	0	0	0	0	+3.285049932135183960949332436083651229e-16	+7.523164742093603763595009752191355867e-37	+7.523164742093603763595009752191355867e-37	+0.000000000000000000000000000000000000e+00	+3.777793491263870341365322920082342881e-27
149	149	uniform	1	7	0	cold	11,5	1	0	1	0	4	3	0	0	0	+6.924437997846425579742830958100791461e-16	+3.009265627788156400805942855606113824e-36	+1.102025953895894538720690503645855323e-39	+1.731112749793489390243200153157388493e-16	+7.408829842850055868720698974884212202e-27
149	149	uniform	1	15	0	cold	5,4	1	0	1	0	0	0	0	0	0	+9.699227115528960507562401450998043473e-17	+7.523163845262640050999913838222372338e-37	+7.523163845262640050999913838222372338e-37	+0.000000000000000000000000000000000000e+00	+6.239196233376691979562053902007478794e-27
149	149	uniform	1	0	0	warm	5,6	1	0	1	0	0	0	0	0	0	+3.285049932135183960949332436083651229e-16	+7.523164742093603763595009752191355867e-37	+7.523164742093603763595009752191355867e-37	+0.000000000000000000000000000000000000e+00	+3.777793491263870341365322920082342881e-27
149	149	uniform	1	7	0	warm	6,5	1	0	1	0	0	0	0	0	0	+4.226341425548263498141970286134630674e-19	+1.836709923159824231201150839409758872e-39	+1.836709923159824231201150839409758872e-39	+0.000000000000000000000000000000000000e+00	+9.280803034433264420385320753343692220e-27
149	149	uniform	1	15	0	warm	10,11	1	1	1	1	2	14	1	1	1	+3.545271813879702380895786508465447363e-19	+2.256949153578792015299974151466711701e-36	+1.558642241376074574049621935696185411e-64	+5.770299176240567055740513870423622180e-23	+5.638761344663715201250788029793738857e-27
149	149	uniform	1	23	0	warm	5,9	1	0	1	1	3	4	1	0	1	+1.757778235554621244138407683938542456e-16	+2.256949273156257803296727481805537123e-36	+0.000000000000000000000000000000000000e+00	+2.003208711512156487190841233806819587e-28	+4.172530375434824798398655532898895799e-27
0	0	linear	0	0	0	cold	12,5	1	0	1	0	1	6	0	0	0	+1.760398798210013760680192178273208313e-13	+7.523221242228787580918399265523852131e-37	+7.523163845262640050999913838222372338e-37	+2.750623091917038263244430336376676425e-15	+2.757470772773570806296003018528083516e-19
0	0	linear	0	7	0	cold	8,6	1	0	1	0	3	9	0	0	0	+3.844816903155835418002664412360081259e-12	+1.504633486517170687646443437305375272e-36	+1.469367938527859384960920671527807097e-39	+6.007520134878848913003637928957884103e-14	+3.168285647261329926924988595945203124e-19
0	0	linear	0	15	0	cold	6,5	1	0	1	0	2	5	0	0	0	+1.169881889360491238874510779267372853e-11	+3.009265896837441505438003900876542347e-36	+7.523164742093603763595009752191355867e-37	+9.139726055390003625983733124337441387e-14	+1.462969696481929849774309173898414562e-19
0	0	linear	0	23	0	cold	10,6	1	0	1	0	0	0	0	0	0	+7.146813590112691164780002161674311472e-15	+1.763241526233431261953104805833368517e-38	+1.763241526233431261953104805833368517e-38	+0.000000000000000000000000000000000000e+00	+5.179101747567789136424662369075247439e-20
0	0	linear	0	0	0	warm	12,5	1	0	1	0	1	6	0	0	0	+1.760398798210013760680192178273208313e-13	+7.523221242228787580918399265523852131e-37	+7.523163845262640050999913838222372338e-37	+2.750623091917038263244430336376676425e-15	+2.757470772773570806296003018528083516e-19
0	0	linear	0	7	0	warm	5,4	1	0	1	0	5	12	0	0	0	+8.170615004558091824594972595801211685e-13	+3.009266973034341375292886874610750543e-36	+8.816207631167156309765524029166842584e-39	+1.057336566964369884232818836339930726e-12	+3.268645475276857198971625547017684612e-19
0	0	linear	0	15	0	warm	11,7	1	0	1	0	3	5	0	0	0	+1.754822799239555011250815901110925394e-11	+4.513898322104767625316842418326491675e-36	+7.523167432585853438232217186526876358e-37	+1.827946385081579346523066472902182646e-13	+1.719620800283855553381293494350408449e-19
