case_id	configuration_id	profile	d_bin_index	epoch_index	rep	lane	base_whole_classify_ms	candidate_whole_classify_ms	base_qf_warm_calls	candidate_qf_warm_calls	base_qf_warm_sweeps	candidate_qf_warm_sweeps	base_qf_cold_calls	candidate_qf_cold_calls	base_qf_cold_sweeps	candidate_qf_cold_sweeps	topology_status_equal	cells_equal	events_equal
149	149	uniform	1	0	0	cold	102.071746	101.867486	1	1	24	24	1	1	400	400	True	True	True
149	149	uniform	1	0	0	warm	101.871358	101.579196	1	1	24	24	1	1	400	400	True	True	True
149	149	uniform	1	15	0	cold	103.736995	103.637705	1	1	24	24	1	1	400	400	True	True	True
149	149	uniform	1	15	0	warm	103.212205	12.453239	1	1	24	25	1	0	400	0	True	True	True
149	149	uniform	1	23	0	cold	1.062699	1.05463	0	0	0	0	0	0	0	0	True	True	True
149	149	uniform	1	23	0	warm	102.234733	102.70599	1	1	24	25	1	1	400	400	True	True	True
149	149	uniform	1	7	0	cold	106.044504	106.304467	1	1	24	24	1	1	400	400	True	True	True
149	149	uniform	1	7	0	warm	105.931398	105.872102	1	1	24	24	1	1	400	400	True	True	True
0	0	linear	0	0	0	cold	107.60491	108.195039	1	1	24	24	1	1	400	400	True	True	True
0	0	linear	0	0	0	warm	107.526417	108.059664	1	1	24	24	1	1	400	400	True	True	True
0	0	linear	0	15	0	cold	107.346732	107.870676	1	1	24	24	1	1	400	400	True	True	True
0	0	linear	0	15	0	warm	107.035004	107.628814	1	1	24	24	1	1	400	400	True	True	True
0	0	linear	0	23	0	cold	107.809444	108.386044	1	1	24	24	1	1	400	400	True	True	True
0	0	linear	0	23	0	warm	107.743219	108.56728	1	1	24	24	1	1	400	400	True	True	True
0	0	linear	0	7	0	cold	106.306852	106.847017	1	1	24	24	1	1	400	400	True	True	True
0	0	linear	0	7	0	warm	106.388859	107.08993	1	1	24	24	1	1	400	400	True	True	True
64	64	linear	0	0	0	cold	102.215111	103.326048	1	1	24	24	1	1	400	400	True	True	True
64	64	linear	0	0	0	warm	101.969921	103.217889	1	1	24	24	1	1	400	400	True	True	True
64	64	linear	0	15	0	cold	65.209463	65.719367	1	1	24	24	1	1	220	220	True	True	True
64	64	linear	0	15	0	warm	64.685838	65.588445	1	1	24	24	1	1	220	220	True	True	True
64	64	linear	0	23	0	cold	43.489983	44.488697	1	1	24	25	1	1	119	119	True	True	True
64	64	linear	0	23	0	warm	42.984865	43.995763	1	1	24	24	1	1	119	119	True	True	True
64	64	linear	0	7	0	cold	48.008536	48.601038	1	1	24	24	1	1	140	140	True	True	True
64	64	linear	0	7	0	warm	47.843916	48.630514	1	1	24	24	1	1	140	140	True	True	True
9	9	uniform	2	0	0	cold	1.492182	1.53441	0	0	0	0	0	0	0	0	True	True	True
9	9	uniform	2	0	0	warm	1.326118	1.319319	0	0	0	0	0	0	0	0	True	True	True
9	9	uniform	2	15	0	cold	1.088056	1.084424	0	0	0	0	0	0	0	0	True	True	True
9	9	uniform	2	15	0	warm	1.030223	1.117585	0	0	0	0	0	0	0	0	True	True	True
9	9	uniform	2	23	0	cold	1.145708	1.142262	0	0	0	0	0	0	0	0	True	True	True
9	9	uniform	2	23	0	warm	0.989854	0.855504	0	0	0	0	0	0	0	0	True	True	True
9	9	uniform	2	7	0	cold	7.380316	7.401401	1	1	13	13	0	0	0	0	True	True	True
9	9	uniform	2	7	0	warm	97.025796	12.307972	1	1	24	25	1	0	400	0	True	True	True
