case	config	profile	d_bin	epoch	rep	lane	index	role_hint	matched_final_role	matched_physical_real	role_match_valid	dominant_sweep_count	step_first	step_median	step_last	step_max	step_min	newton_step_last	aberth_to_newton_ratio_median	p_abs_last	nearest_sep_last
149	149	uniform	1	0	0	cold	0	1	1	1	True	0	4.167611669070144340020059626906202046E-26	2.559813994036894732479000410E-28	2.792637745321718680861036370809007384E-28	4.167611669070144340020059626906202046E-26	4.602426654862501979623650358559480516E-29	2.792637745321718680861053246526623339E-28	1.000000000000000000000002254	+8.889875479229899027378003495414304780e-20	+4.621870588277367812131726918712044407e-05
149	149	uniform	1	0	0	cold	1	1	1	1	True	0	1.782499360237489891070983095190367081E-26	2.337865629606585452417533966E-28	8.860812195094057090443410971706401506E-29	1.782499360237489891070983095190367081E-26	2.370090544910188897959957226109546025E-30	8.860812195094057090443393986201834870E-29	1.000000000000000000000001213	+2.820355016560803160241555076481745346e-20	+4.621870588277367812131754845081424011e-05
149	149	uniform	1	0	0	cold	2	2	2	-1	True	0	3.422138623245523036239358384258040404E-32	3.993418363131500296827448356E-34	3.988182497878070533842456343483545998E-34	3.422138623245523036239358384258040404E-32	1.810467703613361749084738728223275972E-34	3.988182497878070533842456343483543031E-34	1.000000000000000000000000000	+2.939566006696918606203030580057123883e-24	+1.442141112770580586344228207664147720e+00
149	149	uniform	1	0	0	cold	3	1	1	1	True	0	4.124853906039534180561853397427712317E-28	2.046078885542318415503798081E-30	2.673268895683431095633103102990778014E-30	4.124853906039534180561853397427712317E-28	2.467632826784705626738249205433668197E-31	2.673268895683431095633102999891736905E-30	1.000000000000000000000000012	+2.503708927703406608972771325360405514e-32	+6.945784684881876516860541814665554644e-05
149	149	uniform	1	0	0	cold	4	2	2	-1	True	0	2.977586520161635068255591902512470366E-19	2.203213558305874537958130170E-21	2.204823310912635223357039993447376710E-21	2.977586520161635068255591902512470366E-19	6.876654970486046804169944377528536862E-23	2.204823310912635196716498670429594493E-21	0.9999999999999999973710225135	+1.507568640661875403144362434383731603e-36	+8.518511356455596069832928691327469463e-04
149	149	uniform	1	0	0	cold	5	2	2	-1	True	18	4.599071398953622703951098747991987319E-15	8.21262480009430297929809958E-16	2.956544591760700942679805132386956128E-15	4.599071398953622703951098747991987319E-15	6.416112385668270119532528467648052281E-19	2.956544592602567137102472506839250132E-15	0.9999999999525421390513566735	+6.770847470701165118210378261466449846e-36	+1.267427275952476150978774970005128148e-05
149	149	uniform	1	0	0	cold	6	2	2	-1	True	5	1.688515508333287558078877759932392612E-13	3.285051107753543136559266562E-16	0E-36	1.688515508333287558078877759932392612E-13	0E-36	0E-36	0.9999999999999999999999999995	+0.000000000000000000000000000000000000e+00	+1.267427276247132925912886292940401040e-05
149	149	uniform	1	0	0	cold	7	2	1	1	True	0	5.091744578362852683883233819201409295E-20	1.844659753845956917970533229E-226	2.191728901790238445668102151618105155E-458	5.091744578362852683883233819201409295E-20	2.191728901790238445668102151618105155E-458	2.191728901790238445668102151618105155E-458	1	+2.234445858658590541481455358023505675e-473	+8.736850125305860347601246949357030249e-04
149	149	uniform	1	0	0	cold	8	2	2	-1	True	0	1.375331681762533533003493553090580416E-19	3.851463891043975663583604620E-21	5.505190735879683367462226062544781844E-21	1.375331681762533533003493553090580416E-19	6.876654970486046702540305324791544645E-23	5.505190735879683209792575256095480161E-21	1.000000000000000000587601156	+3.764225855739487329341327147391332623e-36	+8.518511356455596106955437320419449455e-04
149	149	uniform	1	0	0	cold	9	2	1	1	True	0	8.493380974616080511699492073989171844E-18	3.489142492630477545376278539E-46	4.748863318668284946133503884921556005E-247	8.493380974616080511699492073989171844E-18	4.748863318668284946133503884921556005E-247	4.748863318668284946133503884921556005E-247	1	+1.009533713800035060463963867384868687e-264	+2.353565171148496096413374096203482450e-04
149	149	uniform	1	0	0	cold	10	2	1	1	True	0	1.112245314158511755506443538417097746E-14	1.164702632648889165544480312E-143	3.768171231355678843115517951159652026E-320	1.112245314158511755506443538417097746E-14	3.768171231355678843115517951159652026E-320	3.768171231355678843115517951159652026E-320	1	+5.479854467365835217693356596468431574e-340	+3.847647116336814447241529445236695266e-05
149	149	uniform	1	0	0	cold	11	2	1	1	True	1	2.149017790923888574065241791902087105E-14	4.125922531257461916383833562E-66	1.961338666725718615714045482746148707E-238	2.149017790923888574065241791902087105E-14	1.961338666725718615714045482746148707E-238	1.961338666725718615714045482746148707E-238	1	+1.400693993156870417903551301162804205e-258	+2.255582159071862033901021770185160836e-05
149	149	uniform	1	0	0	cold	12	1	1	1	True	0	3.297557582595983831313335874510864553E-28	2.627248589520639495672388219E-30	1.751499059680426330448258783613961438E-30	3.297557582595983831313335874510864553E-28	1.030293564517897841440152139538502337E-31	1.751499059680426330448258739537596424E-30	1.000000000000000000000000010	+1.637040452729150475097581251197188221e-32	+6.945784684881876516860541547336848713e-05
149	149	uniform	1	0	0	cold	13	2	2	-1	True	0	1.448481029192334471024008383984207146E-32	3.993418363131500296827448356E-34	3.988182497878070533842456343483545998E-34	1.448481029192334471024008383984207146E-32	3.988182497878070533842456343483545998E-34	3.988182497878070533842456343483543031E-34	1.000000000000000000000000000	+2.939566006696918606203030580057123883e-24	+1.442141112770580586344228207664147720e+00
149	149	uniform	1	7	0	cold	0	1	1	1	True	0	2.351650071615583489823095635939882853E-26	3.236702021220299220908444027E-28	1.405273324563212763862612335802695363E-29	2.351650071615583489823095635939882853E-26	1.405273324563212763862612335802695363E-29	1.405273324563212763862612763122674316E-29	0.9999999999999999999999990775	+4.473392752686773665704578206714359112e-21	+4.621886010284971223586611423578012777e-05
