case_id configuration_id profile d_bin_index epoch_index rep lane root_index source_root_index role role_hint physical_real v_re v_im final_v_re final_v_im d14real_updates cluster_id double_seed_index double_seed_v_re double_seed_v_im double_seed_valid expanded_seed_source_index expanded_seed_displacement expanded_seed_match_valid cluster_size freeze_count reactivation_count d14real_newton d14real_nearest_sep d14real_rel_correction d14real_position_error qf_escalated qf_source_match_valid qf_displacement qf_displacement_valid qf_newton qf_nearest_sep qf_position_error qf_expanded_relative_residual
0 0 linear 2 0 0 cold 0 0 1 1 1 20.002922938068291 -2.0011128629603274e-60 20.002922938068291 -2.0011128629603274e-60 3 0 0 20.002922938009885 -4.3318879620963142e-30 1 0 5.8408158579464413e-11 1 1 1 0 8.7949805067159778e-27 0.0029398522876356026 2.991640275161377e-24 9.8323686780326487e-28 0 1 0 1 1.4816675675946985e-26 0.002939852287634014 1.6564336636960554e-27 3.0136170024602181e-17
0 0 linear 2 0 0 cold 1 1 1 1 1 20.005862790355927 -3.4945485274270538e-60 20.005862790355927 -3.4945485274270538e-60 3 1 1 20.00586279042076 -1.4848533144424472e-28 1 1 6.4833514985999183e-11 1 1 1 0 4.5519987894763363e-27 0.0029398522876356026 1.5483767019931855e-24 5.0885435914253865e-28 0 1 0 1 1.4238040475563262e-26 0.002939852287634014 1.5916280510416718e-27 2.8995077064559623e-17
0 0 linear 2 0 0 cold 2 2 1 1 1 0.02174403399083627 -5.1821919170802988e-39 0.02174403399083627 -5.1821919170802988e-39 4 2 2 0.021743841074154856 1.1220196300008308e-15 1 2 1.9291668141463519e-07 1 1 1 0 1.1358886238812353e-19 5.4337931897095737e-05 2.0904156345743194e-15 3.8515513752574606e-19 0 1 0 1 8.1198288347760174e-20 5.4337931897093948e-05 2.7532574284067002e-19 4.9635191674541693e-44
0 0 linear 2 0 0 cold 3 3 2 2 -1 2.5770949733560919 1.870317231145862 2.5770949733560919 1.870317231145862 2 3 3 2.5770949733560928 1.8703172311458618 1 3 7.6976724225370075e-16 1 1 1 0 6.1157600226831206e-32 3.1666429016259467 1.9313071327186651e-32 1.9048256393701717e-32 0 1 0 1 5.0529896377741851e-32 3.1666429016259472 1.5738132598082772e-32 1.3154647950956549e-27
0 0 linear 2 0 0 cold 4 4 1 1 1 0.021798371922733366 -8.6236848747191417e-39 0.021798371922733366 -8.6236848747191417e-39 4 4 4 0.021798825079145833 3.6633343175831312e-24 1 4 4.531564124687786e-07 1 1 1 0 1.2433660612648201e-19 5.4337931897095737e-05 2.2882101284595922e-15 4.2107260195424635e-19 0 1 0 1 1.86504909189723e-20 5.4337931897093948e-05 6.316089029313695e-20 1.2379703374677196e-44
0 0 linear 2 0 0 cold 5 5 2 2 -1 0.018613865715814002 -1.0952675284445162e-05 0.018613865681376549 -1.0952624558253733e-05 25 5 5 0.018875093273066537 0.00039869503565319043 1 12 0.00052053557506616215 0 1 0 0 1.4381761027670658e-10 2.1905249116615744e-05 6.5654405257421561e-06 5.2706452248395639e-10 0 1 6.1311376016289744e-11 1 2.7126593149730782e-11 2.1905249116507467e-05 9.9413867681411147e-11 2.2168138694242631e-44
0 0 linear 2 0 0 cold 6 6 1 2 1 0.018345439191429197 5.1258438918063732e-25 0.018345439191429197 5.1258438918063732e-25 11 6 6 0.018054301089809221 -0.00038886551001507619 1 8 0.0004803423626931151 0 1 1 0 1.047779887953871e-13 0.0001341483945326849 7.8106032621850145e-10 3.8679068423149977e-13 0 1 0 1 3.8356228040989368e-14 0.00013414839453268642 1.4159301833408421e-13 5.2622275210584044e-45
0 0 linear 2 0 0 cold 7 7 2 2 -1 0.01853331899620772 2.4564854252393457e-05 0.01853331918985799 2.4565066535161112e-05 25 7 7 0.018456356579761676 0.00053969578936220947 1 7 0.00052084825520793939 0 1 0 0 4.6010338214114539e-10 1.1742184146651084e-05 3.9183798890802498e-05 1.6898526207323611e-09 0 1 2.8734021878105673e-10 1 1.0485160925424203e-11 1.1742247139690225e-05 3.8509555164768652e-11 4.7867993668712325e-46
0 0 linear 2 0 0 cold 8 8 2 2 -1 0.018542625996667225 1.7405340932295796e-05 0.01854262589446028 1.7405065324596369e-05 25 8 8 0.018053182490381459 0.00038120179182461468 1 5 0.00050588200137037488 0 1 0 0 1.0154581720109987e-09 1.1742184146651084e-05 8.6479496431727428e-05 3.7286053978158848e-09 0 1 2.939487422105866e-10 1 7.8199849733474717e-10 1.1742247139690225e-05 2.8713775777763024e-09 4.5876991117040638e-44
0 0 linear 2 0 0 cold 9 9 1 2 1 0.018211290796896512 1.4759063097191832e-25 0.018211290796896512 1.4759063097191832e-25 8 9 9 0.017930338253686125 -2.6185120464364954e-07 1 9 0.00028095266523462135 0 1 1 0 1.2090860452824132e-14 0.0001341483945326849 9.0130489410204793e-11 4.4797816708780755e-14 0 1 0 1 2.00254876249798e-14 0.00013414839453268642 7.419638392388046e-14 5.6629767157563151e-44
0 0 linear 2 0 0 cold 10 10 2 2 -1 0.018613865646939093 1.0952573832062304e-05 0.018613865681376549 1.0952624558253733e-05 25 10 10 0.01913400432219493 6.1251307514751085e-07 1 10 0.00052024140894192281 0 1 0 0 1.0032096041167291e-13 2.1905249116615744e-05 4.5797680673522516e-09 3.6765747317454419e-13 0 1 6.1311376016289744e-11 1 2.7126593149730782e-11 2.1905249116507467e-05 9.9413867681411147e-11 2.2168138694242631e-44
0 0 linear 2 0 0 cold 11 11 2 2 -1 0.018533319383508263 -2.456527881792877e-05 0.01853331918985799 -2.4565066535161112e-05 25 11 11 0.018451802729302674 -0.00061968811281821719 1 6 0.00060180823631286132 0 1 0 0 5.8557609517418401e-10 1.1742310160118975e-05 4.9868900343222656e-05 2.1506846659634353e-09 0 1 2.8734021878105673e-10 1 1.0485160925424203e-11 1.1742247139690225e-05 3.8509555164768652e-11 4.7867993668712325e-46
0 0 linear 2 0 0 cold 12 12 2 2 -1 0.018542625792253339 -1.7404789716896939e-05 0.01854262589446028 -1.7405065324596369e-05 25 12 12 0.018905763377093626 -0.00044194336708588635 1 11 0.00060909253535686115 0 1 0 0 8.7041381216121926e-10 1.1742310160118975e-05 7.4126283524467902e-05 3.196024952775187e-09 0 1 2.939487422105866e-10 1 7.8199849733474717e-10 1.1742247139690225e-05 2.8713775777763024e-09 4.5876991117040638e-44
0 0 linear 2 0 0 cold 13 13 2 2 -1 2.5770949733560919 -1.870317231145862 2.5770949733560919 -1.870317231145862 2 13 13 2.5770949733560928 -1.870317231145862 1 13 7.138074110982086e-16 1 1 1 0 6.1157600226831206e-32 3.1666429016259467 1.9313071327186651e-32 1.9048256393701717e-32 0 1 0 1 5.0529896377741851e-32 3.1666429016259472 1.5738132598082772e-32 1.3154647950956549e-27
