name,u,nt,mu_error,jac_error,ref_mu,ref_dx,ref_dy,ref_drho,ref_dq,ref_da
plan15,0.5,512,1.147491e-14,6.077945e-12,6.1209627244295568,7.3097202568084914,-17.355059374479602,-11.441047967786986,-5.4835653950054635,1.3008383578956231
resonant,0.5,512,3.033842e-09,9.407251e-05,13.878583451858054,166.72230372260154,-122.35613534962219,-85.536829288680451,-44.326432549349427,-2.9022822104951591
close-binary,0.5,512,1.454007e-08,4.763853e-04,8.0841849211713388,-51.670518294880509,50.78981419621401,-5.4430941343415498,8.3447690762810325,34.015898710564159
wide-planet,0.5,512,7.198602e-16,2.094493e-10,1.1591862424231465,-0.27592383021598638,-0.027828914336690689,0.0071171315213263142,1.5143556256759567,-0.0042988061050478815
cusp-approach,0.5,512,3.552301e-16,1.135036e-10,1.5002907816969857,-1.0245747795319973,0.66944105090286266,0.029210035293537828,0.41532548187761487,0.24075150711852322
on-axis-off,0.5,512,9.202876e-16,9.770745e-11,3.8255483053331361,1.152916722412898,-5.9586379133958729e-11,0.7502599254360689,-0.55560461544973305,-6.2077149971491599
R=sqrt(m0),0.5,512,1.859793e-16,1.609355e-09,1.3878418584406231,0.11694227585259619,-1.0233178581343851,0.018152097268270495,-0.19844516878894095,-0.17097557560009016
tiny-rho,0.5,512,4.187243e-15,5.400608e-09,38.029221592956951,-3348.9205730832896,2322.2259772427169,346.47409178591624,707.92659174080745,-8.8116238545338277
caustic-cross,0.5,512,1.909500e-08,1.912031e-03,33.292109593565932,77.321826657105177,2.1914698957409191e-11,-1202.2432924793511,-34.10325425654171,-2.6593249608940188
extreme-q-lo,0.5,512,2.489471e-16,7.741065e-09,1.6758050144619869,-1.7029054955975003,-0.12354854424919605,0.025544818074081377,-11.690292918042003,0.001136505021533607
extreme-q-planet,0.5,512,1.148638e-13,5.737356e-09,1.3699955363904719,-2.0265704244439759,-4.8642482954804533,1.2132397723603674,1048.6608398707237,1.7851801163224319
very-wide,0.5,512,2.190304e-16,7.536840e-10,1.0275233602709311,0.0018388817861544869,-0.014156237056942413,0.0023324734034702033,0.016136325518701124,-0.022593084628012294
very-close,0.5,512,5.845424e-09,5.567879e-04,24.842977088432725,-69.859680288100762,-486.67330652385624,45.899405045950743,5.6484696622620056,5.0818999322665475
fold-tangent,0.5,512,1.760098e-15,2.201173e-10,6.0646636167697929,34.609374269697547,2.3650175882515163,-21.697575854661125,-9.4008739124644194,-41.95008026342034
rand000,0.5,512,2.417587e-15,9.061345e-10,1.9390581511911231,2.0325188111688504,-1.7038272176424816,0.044797537551630739,1.1098751722380396,-2.9158806101451328e-06
rand001,0.5,512,4.668390e-16,3.492878e-12,1.8538051457555913,-1.6122078379619285,-1.735381736665168,0.18652148686460635,-0.87625642006516746,0.0075297784580657008
rand002,0.5,512,3.756395e-16,1.521000e-11,2.5466657465921179,5.2711360035053714,1.1021804145863008,0.23504942699865694,-1.7885510089675036,1.0461853779108835e-05
rand003,0.5,512,4.934858e-15,1.548355e-12,2.1496592860849963,3.609472641286724,-0.32837727930814853,0.56105102249965277,-0.62033837485369259,-2.0906997693172952e-06
rand004,0.5,512,1.390624e-15,1.824877e-11,1.395090386115337,-0.75149988360858766,0.43026068195672057,0.042718782080910955,0.097680993472283068,0.10831658183466163
rand005,0.5,512,3.598416e-16,7.653733e-12,1.4682484397899209,0.96567994659579959,0.4550176875511448,0.086182339026196431,-0.55059481871321481,1.9568148119013805e-07
