mode,name,u,epoch,nr,gm_ms,v2_ms,gm_status,v2_status,mu_error,jac_error,topology_ms,seed_ms,connection_ms,transport_ms,arc_ms,reseed_ms,seeds,nodes,transported,connection_attempts,connection_failed,steps,rejected
cold,plan15,0.0,0,64,0.985633,1.343987,0,0,8.855962e-16,1.191210e-13,0.601065,0.000000,0.000000,0.000000,0.364348,0,0,0,0,0,0,0,0
cold,plan15,0.0,1,64,0.830040,1.309667,0,0,1.265128e-16,8.865804e-14,0.492618,0.000000,0.000000,0.000000,0.323756,0,0,0,0,0,0,0,0
warm_init,plan15,0.0,0,64,0.969938,1.322975,0,0,8.855962e-16,1.191210e-13,0.481440,0.000000,0.000000,0.000000,0.474881,0,0,0,0,0,0,0,0
warm,plan15,0.0,1,64,0.719720,1.192654,0,0,1.265128e-16,8.865804e-14,0.369663,0.000000,0.000000,0.000000,0.336423,0,0,0,0,0,0,0,0
cold,plan15,0.5,0,64,2276.648424,1.373248,0,0,3.741819e-15,9.961614e-14,0.473528,2.641730,2157.392918,114.195212,0.379306,0,9,576,576,1242,0,1242,801
cold,plan15,0.5,1,64,2277.378470,1.357460,0,0,6.984471e-15,2.597144e-13,0.491917,2.660160,2158.078680,114.235332,0.354090,0,9,576,576,1243,0,1243,802
warm_init,plan15,0.5,0,64,2276.327219,1.387709,0,0,3.741819e-15,9.961614e-14,0.488052,2.640415,2157.079436,114.193745,0.368171,0,9,576,576,1242,0,1242,801
warm,plan15,0.5,1,64,2277.627862,1.255582,0,0,6.984471e-15,2.597144e-13,0.379923,2.624531,2158.462010,114.253231,0.356958,0,9,576,576,1243,0,1243,802
cold,resonant,0.0,0,64,3.023786,2.108911,0,0,1.085255e-15,9.110407e-14,0.749915,0.000000,0.000000,0.000000,2.257587,0,0,0,0,0,0,0,0
cold,resonant,0.0,1,64,3.008506,2.022649,0,0,8.437219e-16,5.848007e-12,0.633451,0.000000,0.000000,0.000000,2.359260,0,0,0,0,0,0,0,0
warm_init,resonant,0.0,0,64,2.941581,2.082801,0,0,1.085255e-15,9.110407e-14,0.711196,0.000000,0.000000,0.000000,2.215252,0,0,0,0,0,0,0,0
warm,resonant,0.0,1,64,2.896035,1.925265,0,0,8.437219e-16,5.848007e-12,0.509347,0.000000,0.000000,0.000000,2.370710,0,0,0,0,0,0,0,0
cold,resonant,0.5,0,64,8516.049969,2.179799,0,0,3.033845e-09,9.407252e-05,0.702236,2.934047,7465.662812,1041.964666,2.281098,0,10,640,640,4296,0,4296,14334
cold,resonant,0.5,1,64,8803.935299,2.088840,0,0,3.469265e-09,1.106305e-04,0.643365,2.952364,7702.212395,1093.190227,2.388913,0,10,640,640,4425,0,4425,15097
warm_init,resonant,0.5,0,64,8536.240371,2.132703,0,0,3.033845e-09,9.407252e-05,0.731241,2.932567,7483.823811,1043.915137,2.313118,0,10,640,640,4296,0,4296,14334
warm,resonant,0.5,1,64,8803.879921,1.957911,0,0,3.469265e-09,1.106305e-04,0.532997,2.913327,7701.912298,1093.605741,2.370841,0,10,640,640,4425,0,4425,15097
cold,close-binary,0.0,0,64,2.186276,1.734129,0,0,1.166863e-15,2.130969e-12,0.898831,0.000000,0.000000,0.000000,1.273727,0,0,0,0,0,0,0,0
cold,close-binary,0.0,1,64,1.903866,1.668663,0,0,3.891023e-16,7.542881e-14,0.785041,0.000000,0.000000,0.000000,1.105259,0,0,0,0,0,0,0,0
warm_init,close-binary,0.0,0,64,2.168707,1.677291,0,0,1.166863e-15,2.130969e-12,0.878632,0.000000,0.000000,0.000000,1.276463,0,0,0,0,0,0,0,0
warm,close-binary,0.0,1,64,1.732650,1.567022,0,0,3.891023e-16,7.542881e-14,0.583882,0.000000,0.000000,0.000000,1.135194,0,0,0,0,0,0,0,0
cold,close-binary,0.5,0,64,5349.475047,1.816699,0,0,1.454010e-08,4.763955e-04,0.881849,2.640661,4771.350336,571.313804,1.322610,0,9,576,576,2741,0,2741,7465
cold,close-binary,0.5,1,64,5348.896854,1.735311,0,0,1.473207e-08,4.808888e-04,0.791665,2.616977,4770.736356,571.600805,1.208284,0,9,576,576,2741,0,2741,7465
warm_init,close-binary,0.5,0,64,5349.091216,1.717209,0,0,1.454010e-08,4.763955e-04,0.890389,2.631195,4770.878816,571.419218,1.308948,0,9,576,576,2741,0,2741,7465
warm,close-binary,0.5,1,64,5349.855850,1.621418,0,0,1.473207e-08,4.808888e-04,0.597490,2.658477,4771.880678,571.608668,1.160864,0,9,576,576,2741,0,2741,7465
cold,wide-planet,0.0,0,64,0.984750,0.921251,0,0,1.028370e-16,3.812545e-11,0.764200,0.000000,0.000000,0.000000,0.216283,0,0,0,0,0,0,0,0
cold,wide-planet,0.0,1,64,0.965381,0.907451,0,0,5.141871e-16,7.664871e-13,0.745990,0.000000,0.000000,0.000000,0.215311,0,0,0,0,0,0,0,0
warm_init,wide-planet,0.0,0,64,0.942055,0.913747,0,0,1.028370e-16,3.812545e-11,0.723091,0.000000,0.000000,0.000000,0.214893,0,0,0,0,0,0,0,0
warm,wide-planet,0.0,1,64,0.881319,0.794174,0,0,5.141871e-16,7.664871e-13,0.644693,0.000000,0.000000,0.000000,0.232517,0,0,0,0,0,0,0,0
cold,wide-planet,0.5,0,64,296.615676,0.952169,0,0,3.085115e-16,2.614662e-11,0.721602,0.603462,285.544184,9.199458,0.217304,0,2,128,128,164,0,164,0
cold,wide-planet,0.5,1,64,296.681588,0.949526,0,0,4.113503e-16,6.773007e-13,0.744035,0.577838,285.639592,9.175121,0.214376,0,2,128,128,164,0,164,0
warm_init,wide-planet,0.5,0,64,296.620865,0.943224,0,0,3.085115e-16,2.614662e-11,0.727939,0.585854,285.489877,9.266706,0.221181,0,2,128,128,164,0,164,0
warm,wide-planet,0.5,1,64,296.510232,0.818527,0,0,4.113503e-16,6.773007e-13,0.627750,0.577732,285.603939,9.145957,0.225815,0,2,128,128,164,0,164,0
cold,cusp-approach,0.0,0,64,0.932883,0.735553,0,0,1.776110e-16,2.434672e-11,0.720357,0.000000,0.000000,0.000000,0.205291,0,0,0,0,0,0,0,0
cold,cusp-approach,0.0,1,64,0.669514,0.728686,0,0,0.000000e+00,8.521045e-12,0.484031,0.000000,0.000000,0.000000,0.178162,0,0,0,0,0,0,0,0
warm_init,cusp-approach,0.0,0,64,0.912681,0.722782,0,0,1.776110e-16,2.434672e-11,0.699745,0.000000,0.000000,0.000000,0.205642,0,0,0,0,0,0,0,0
warm,cusp-approach,0.0,1,64,1.395667,0.784486,0,0,0.000000e+00,8.521045e-12,0.359622,0.000000,0.000000,0.000000,1.027308,0,0,0,0,0,0,0,0
cold,cusp-approach,0.5,0,64,833.375971,0.751462,0,0,4.440376e-16,1.462218e-11,0.692711,1.457054,799.045798,31.155777,0.197256,0,5,320,320,459,0,459,97
cold,cusp-approach,0.5,1,64,834.773792,0.763246,0,0,8.880898e-17,5.129521e-12,0.480660,1.451029,800.679609,31.153935,0.181938,0,5,320,320,460,0,460,97
warm_init,cusp-approach,0.5,0,64,833.079476,0.737333,0,0,4.440376e-16,1.462218e-11,0.727691,1.473059,798.690773,31.153031,0.206328,0,5,320,320,459,0,459,97
warm,cusp-approach,0.5,1,64,835.703080,0.783352,0,0,8.880898e-17,5.129521e-12,0.359188,1.455634,800.793124,31.290219,0.973810,0,5,320,320,460,0,460,97
cold,on-axis-off,0.0,0,64,1.333532,1.413803,0,0,7.359846e-16,1.476420e-12,1.006412,0.000000,0.000000,0.000000,0.318209,0,0,0,0,0,0,0,0
cold,on-axis-off,0.0,1,64,1.693950,1.510497,4,8,5.519819e-16,4.785161e-12,1.224456,0.000000,0.000000,0.000000,0.459146,0,0,0,0,0,0,0,0
warm_init,on-axis-off,0.0,0,64,1.318812,1.410916,0,0,7.359846e-16,1.476420e-12,0.991705,0.000000,0.000000,0.000000,0.318321,0,0,0,0,0,0,0,0
warm,on-axis-off,0.0,1,64,2.052443,1.685764,4,8,5.519819e-16,4.785161e-12,1.005310,0.000000,0.000000,0.000000,1.036652,0,0,0,0,0,0,0,0
cold,on-axis-off,0.5,0,64,1102.463860,1.448943,0,0,2.208690e-15,2.403187e-12,0.990570,2.052819,1061.284127,36.667739,0.318649,0,7,448,448,610,0,610,42
cold,on-axis-off,0.5,1,64,1275.763209,1.515115,4,8,3.681107e-16,3.905382e-12,1.224335,2.329116,1227.339274,43.075378,0.455975,0,8,512,512,705,0,705,62
warm_init,on-axis-off,0.5,0,64,1102.315522,1.448239,0,0,2.208690e-15,2.403187e-12,0.993999,2.040968,1061.284595,36.526163,0.320559,0,7,448,448,610,0,610,42
warm,on-axis-off,0.5,1,64,1276.054530,1.729292,4,8,3.681107e-16,3.905382e-12,1.014246,2.349515,1227.221426,43.057726,1.087842,0,8,512,512,705,0,705,62
cold,R=sqrt(m0),0.0,0,64,0.678981,0.725832,0,0,9.298880e-16,9.455253e-11,0.490337,0.000000,0.000000,0.000000,0.180866,0,0,0,0,0,0,0,0
cold,R=sqrt(m0),0.0,1,64,0.625115,0.693212,0,0,1.766791e-15,2.905472e-11,0.455166,0.000000,0.000000,0.000000,0.162680,0,0,0,0,0,0,0,0
warm_init,R=sqrt(m0),0.0,0,64,0.653164,0.695255,0,0,9.298880e-16,9.455253e-11,0.472805,0.000000,0.000000,0.000000,0.173117,0,0,0,0,0,0,0,0
warm,R=sqrt(m0),0.0,1,64,0.652678,0.677437,0,0,1.766791e-15,2.905472e-11,0.322653,0.000000,0.000000,0.000000,0.322702,0,0,0,0,0,0,0,0
cold,R=sqrt(m0),0.5,0,64,591.822562,0.721112,0,0,1.394845e-15,5.659765e-11,0.466214,1.175022,570.989949,18.350761,0.182758,0,4,256,256,328,0,328,0
cold,R=sqrt(m0),0.5,1,64,591.871612,0.701208,0,0,1.208868e-15,1.769833e-11,0.441389,1.161653,571.084593,18.361758,0.166221,0,4,256,256,328,0,328,0
warm_init,R=sqrt(m0),0.5,0,64,592.158960,0.707750,0,0,1.394845e-15,5.659765e-11,0.478078,1.162907,571.280713,18.384825,0.178473,0,4,256,256,328,0,328,0
warm,R=sqrt(m0),0.5,1,64,591.827405,0.737823,0,0,1.208868e-15,1.769833e-11,0.335146,1.179384,570.953474,18.365751,0.330678,0,4,256,256,328,0,328,0
cold,tiny-rho,0.0,0,64,1.508596,1.194696,0,0,3.275728e-15,1.387346e-09,1.318280,0.000000,0.000000,0.000000,0.183020,0,0,0,0,0,0,0,0
cold,tiny-rho,0.0,1,64,1.352147,1.215564,0,0,1.310380e-14,3.935556e-10,1.151555,0.000000,0.000000,0.000000,0.193418,0,0,0,0,0,0,0,0
warm_init,tiny-rho,0.0,0,64,1.498100,1.192146,0,0,3.275728e-15,1.387346e-09,1.301465,0.000000,0.000000,0.000000,0.189405,0,0,0,0,0,0,0,0
warm,tiny-rho,0.0,1,64,1.152692,1.103910,0,0,1.310380e-14,3.935556e-10,0.810139,0.000000,0.000000,0.000000,0.335269,0,0,0,0,0,0,0,0
cold,tiny-rho,0.5,0,64,602.617579,1.192231,0,0,5.643675e-15,8.390231e-10,1.298427,1.166733,579.834727,19.476204,0.183612,0,4,256,256,333,0,333,15
cold,tiny-rho,0.5,1,64,629.072473,1.228005,0,0,1.083295e-13,2.358264e-10,1.143725,1.169873,604.119280,21.758990,0.197179,0,4,256,256,347,0,347,41
warm_init,tiny-rho,0.5,0,64,602.515992,1.195133,0,0,5.643675e-15,8.390231e-10,1.301646,1.175912,579.727978,19.458178,0.187043,0,4,256,256,333,0,333,15
warm,tiny-rho,0.5,1,64,628.898872,1.115964,0,0,1.083295e-13,2.358264e-10,0.813979,1.163127,604.167197,21.745158,0.335709,0,4,256,256,347,0,347,41
cold,caustic-cross,0.0,0,64,1.548896,1.464047,0,0,2.695765e-15,2.223437e-12,1.052701,0.000000,0.000000,0.000000,0.487365,0,0,0,0,0,0,0,0
cold,caustic-cross,0.0,1,64,1.409822,1.514242,0,0,1.186045e-15,5.018072e-11,0.829592,0.000000,0.000000,0.000000,0.567798,0,0,0,0,0,0,0,0
warm_init,caustic-cross,0.0,0,64,1.532507,1.447465,0,0,2.695765e-15,2.223437e-12,1.040178,0.000000,0.000000,0.000000,0.483613,0,0,0,0,0,0,0,0
warm,caustic-cross,0.0,1,64,10.178779,10.147297,0,0,1.186045e-15,5.018072e-11,9.344835,0.000000,0.000000,0.000000,0.819027,0,0,0,0,0,0,0,0
cold,caustic-cross,0.5,0,64,4756.021437,1.485094,0,0,1.909525e-08,1.912435e-03,1.058599,1.758862,4213.629641,537.639800,0.508203,0,6,384,384,2421,0,2421,7179
cold,caustic-cross,0.5,1,64,5124.619036,1.546307,0,0,1.907331e-08,1.895586e-03,0.827938,2.323139,4564.222666,554.893909,0.567976,0,8,512,512,2622,0,2622,7289
warm_init,caustic-cross,0.5,0,64,4755.094697,1.499497,0,0,1.909525e-08,1.912435e-03,1.053026,1.748999,4212.491758,537.874325,0.500954,0,6,384,384,2421,0,2421,7179
warm,caustic-cross,0.5,1,64,5134.806972,10.230717,0,0,1.907331e-08,1.895586e-03,9.386171,2.363769,4565.247022,555.246628,0.798835,0,8,512,512,2622,0,2622,7289
cold,extreme-q-lo,0.0,0,64,1.333675,1.291664,0,0,1.493675e-15,3.536018e-11,1.114895,0.000000,0.000000,0.000000,0.214493,0,0,0,0,0,0,0,0
cold,extreme-q-lo,0.0,1,64,1.371784,1.294883,0,0,2.489491e-16,1.461929e-11,1.157546,0.000000,0.000000,0.000000,0.210036,0,0,0,0,0,0,0,0
warm_init,extreme-q-lo,0.0,0,64,1.316640,1.282962,0,0,1.493675e-15,3.536018e-11,1.092653,0.000000,0.000000,0.000000,0.219725,0,0,0,0,0,0,0,0
warm,extreme-q-lo,0.0,1,64,1.253403,1.167669,0,0,2.489491e-16,1.461929e-11,1.027311,0.000000,0.000000,0.000000,0.222018,0,0,0,0,0,0,0,0
