mode,name,u,epoch,nr,gm_ms,v2_ms,gm_status,v2_status,mu_error,jac_error,topology_ms,seed_ms,connection_ms,transport_ms,arc_ms,reseed_ms,seeds,nodes,transported,connection_attempts,connection_failed,steps,rejected
cold,plan15,0.0,0,64,1.120856,0.812855,0,0,8.855962e-16,0.000000e+00,0.638962,0.000000,0.000000,0.000000,0.461388,0,0,0,0,0,0,0,0
cold,plan15,0.0,1,64,0.832263,0.769569,0,0,1.265128e-16,0.000000e+00,0.494556,0.000000,0.000000,0.000000,0.323996,0,0,0,0,0,0,0,0
warm_init,plan15,0.0,0,64,0.836702,0.786972,0,0,8.855962e-16,0.000000e+00,0.483498,0.000000,0.000000,0.000000,0.339682,0,0,0,0,0,0,0,0
warm,plan15,0.0,1,64,0.735531,0.670500,0,0,1.265128e-16,0.000000e+00,0.362917,0.000000,0.000000,0.000000,0.359004,0,0,0,0,0,0,0,0
cold,plan15,0.5,0,64,556.163215,1.453638,0,0,5.488001e-15,0.000000e+00,0.488681,0.619659,540.311470,14.146195,0.358645,0,9,576,576,974,0,974,308
cold,plan15,0.5,1,64,556.003705,1.439350,0,0,3.741681e-15,0.000000e+00,0.494748,0.618061,540.134506,14.199199,0.321419,0,9,576,576,974,0,974,308
warm_init,plan15,0.5,0,64,556.080658,1.444828,0,0,5.488001e-15,0.000000e+00,0.492332,0.609961,540.157713,14.242173,0.343163,0,9,576,576,974,0,974,308
warm,plan15,0.5,1,64,556.057718,1.331709,0,0,3.741681e-15,0.000000e+00,0.371351,0.618827,540.343095,14.150617,0.336730,0,9,576,576,974,0,974,308
cold,resonant,0.0,0,64,2.960519,1.405219,0,0,1.085255e-15,0.000000e+00,0.735694,0.000000,0.000000,0.000000,2.209669,0,0,0,0,0,0,0,0
cold,resonant,0.0,1,64,3.002839,1.287619,0,0,8.437219e-16,0.000000e+00,0.649501,0.000000,0.000000,0.000000,2.337946,0,0,0,0,0,0,0,0
warm_init,resonant,0.0,0,64,2.958740,1.385780,0,0,1.085255e-15,0.000000e+00,0.716306,0.000000,0.000000,0.000000,2.227116,0,0,0,0,0,0,0,0
warm,resonant,0.0,1,64,2.844701,1.177612,0,0,8.437219e-16,0.000000e+00,0.512513,0.000000,0.000000,0.000000,2.317170,0,0,0,0,0,0,0,0
cold,resonant,0.5,0,64,1252.316402,2.138355,0,0,3.033842e-09,0.000000e+00,0.709907,0.680603,1179.228037,69.059986,2.230152,0,10,640,640,2126,0,2126,4200
cold,resonant,0.5,1,64,1273.166401,2.037390,0,0,3.469266e-09,0.000000e+00,0.641837,0.683222,1198.205627,70.905835,2.314126,0,10,640,640,2160,0,2160,4343
warm_init,resonant,0.5,0,64,1252.620859,2.140109,0,0,3.033842e-09,0.000000e+00,0.727008,0.678851,1179.463988,69.102204,2.220455,0,10,640,640,2126,0,2126,4200
warm,resonant,0.5,1,64,1273.084934,1.948927,0,0,3.469266e-09,0.000000e+00,0.539093,0.680472,1198.175474,70.910018,2.347914,0,10,640,640,2160,0,2160,4343
cold,close-binary,0.0,0,64,2.171201,1.095829,0,0,1.166863e-15,0.000000e+00,0.895188,0.000000,0.000000,0.000000,1.262310,0,0,0,0,0,0,0,0
cold,close-binary,0.0,1,64,1.891975,1.069258,0,0,3.891023e-16,0.000000e+00,0.784792,0.000000,0.000000,0.000000,1.093552,0,0,0,0,0,0,0,0
warm_init,close-binary,0.0,0,64,2.140508,1.095081,0,0,1.166863e-15,0.000000e+00,0.871235,0.000000,0.000000,0.000000,1.255726,0,0,0,0,0,0,0,0
warm,close-binary,0.0,1,64,1.742151,0.985424,0,0,3.891023e-16,0.000000e+00,0.604799,0.000000,0.000000,0.000000,1.123734,0,0,0,0,0,0,0,0
cold,close-binary,0.5,0,64,990.141676,1.763122,0,0,1.454014e-08,0.000000e+00,0.866953,0.619842,936.648885,50.403467,1.257554,0,9,576,576,1689,0,1689,2926
cold,close-binary,0.5,1,64,989.747366,1.746134,0,0,1.473210e-08,0.000000e+00,0.792282,0.615714,936.465403,50.413751,1.107802,0,9,576,576,1689,0,1689,2926
warm_init,close-binary,0.5,0,64,990.202876,1.753867,0,0,1.454014e-08,0.000000e+00,0.887557,0.610350,936.707394,50.394973,1.266839,0,9,576,576,1689,0,1689,2926
warm,close-binary,0.5,1,64,990.024258,1.630508,0,0,1.473210e-08,0.000000e+00,0.594108,0.609799,936.994097,50.352839,1.127874,0,9,576,576,1689,0,1689,2926
cold,wide-planet,0.0,0,64,0.982943,0.780544,0,0,1.028370e-16,0.000000e+00,0.763850,0.000000,0.000000,0.000000,0.214849,0,0,0,0,0,0,0,0
cold,wide-planet,0.0,1,64,0.962451,0.776287,0,0,5.141871e-16,0.000000e+00,0.745851,0.000000,0.000000,0.000000,0.212523,0,0,0,0,0,0,0,0
warm_init,wide-planet,0.0,0,64,0.943284,0.760966,0,0,1.028370e-16,0.000000e+00,0.725838,0.000000,0.000000,0.000000,0.213415,0,0,0,0,0,0,0,0
warm,wide-planet,0.0,1,64,0.864314,0.675398,0,0,5.141871e-16,0.000000e+00,0.636028,0.000000,0.000000,0.000000,0.224292,0,0,0,0,0,0,0,0
cold,wide-planet,0.5,0,64,93.899352,0.900773,0,0,0.000000e+00,0.000000e+00,0.724493,0.142257,90.946971,1.823841,0.213571,0,2,128,128,164,0,164,0
cold,wide-planet,0.5,1,64,93.942769,0.899213,0,0,4.113503e-16,0.000000e+00,0.737829,0.135617,90.996338,1.812646,0.212381,0,2,128,128,164,0,164,0
warm_init,wide-planet,0.5,0,64,93.913870,0.893873,0,0,0.000000e+00,0.000000e+00,0.724445,0.135775,90.946112,1.835905,0.223481,0,2,128,128,164,0,164,0
warm,wide-planet,0.5,1,64,93.832588,0.796881,0,0,4.113503e-16,0.000000e+00,0.619273,0.135387,90.983086,1.822868,0.224067,0,2,128,128,164,0,164,0
cold,cusp-approach,0.0,0,64,0.928680,0.587099,0,0,1.776110e-16,0.000000e+00,0.727628,0.000000,0.000000,0.000000,0.193744,0,0,0,0,0,0,0,0
cold,cusp-approach,0.0,1,64,0.657635,0.576034,0,0,0.000000e+00,0.000000e+00,0.476184,0.000000,0.000000,0.000000,0.174224,0,0,0,0,0,0,0,0
warm_init,cusp-approach,0.0,0,64,0.902467,0.562707,0,0,1.776110e-16,0.000000e+00,0.702801,0.000000,0.000000,0.000000,0.192497,0,0,0,0,0,0,0,0
warm,cusp-approach,0.0,1,64,1.329205,0.613160,0,0,0.000000e+00,0.000000e+00,0.356913,0.000000,0.000000,0.000000,0.965066,0,0,0,0,0,0,0,0
cold,cusp-approach,0.5,0,64,233.381340,0.932404,0,0,0.000000e+00,0.000000e+00,0.707322,0.338717,227.450837,4.573641,0.193704,0,5,320,320,410,0,410,0
cold,cusp-approach,0.5,1,64,233.107453,0.929305,0,0,2.664269e-16,0.000000e+00,0.465465,0.338660,227.431317,4.579513,0.175132,0,5,320,320,410,0,410,0
warm_init,cusp-approach,0.5,0,64,233.308058,0.941245,0,0,0.000000e+00,0.000000e+00,0.697972,0.357942,227.383236,4.555070,0.195218,0,5,320,320,410,0,410,0
