plan15 nodes=576 transported=576 accurate=576 seeds=9 err=4.759e-13 conn=974/974 steps=974 rejected=308 ms=540.775/14.185
resonant nodes=640 transported=640 accurate=640 seeds=10 err=6.363e-14 conn=2225/2225 steps=2225 rejected=4648 ms=1236.628/75.025
close-binary nodes=576 transported=576 accurate=576 seeds=9 err=1.185e-10 conn=1689/1689 steps=1689 rejected=2926 ms=938.442/50.438
wide-planet nodes=128 transported=128 accurate=128 seeds=2 err=1.012e-14 conn=164/164 steps=164 rejected=0 ms=91.057/1.827
cusp-approach nodes=320 transported=320 accurate=320 seeds=5 err=3.007e-14 conn=410/410 steps=410 rejected=0 ms=227.467/4.590
on-axis-off nodes=448 transported=448 accurate=448 seeds=7 err=2.102e-13 conn=574/574 steps=574 rejected=0 ms=318.184/6.380
R=sqrt(m0) nodes=256 transported=256 accurate=256 seeds=4 err=1.802e-13 conn=328/328 steps=328 rejected=0 ms=182.067/3.640
tiny-rho nodes=256 transported=256 accurate=256 seeds=4 err=1.368e-12 conn=328/328 steps=328 rejected=0 ms=182.277/3.649
caustic-cross nodes=384 transported=384 accurate=383 seeds=6 err=2.048e-09 conn=1438/1438 steps=1438 rejected=2924 ms=799.542/47.651
extreme-q-lo nodes=128 transported=128 accurate=128 seeds=2 err=2.682e-14 conn=164/164 steps=164 rejected=0 ms=91.187/1.805
extreme-q-planet nodes=384 transported=384 accurate=384 seeds=6 err=1.108e-13 conn=707/707 steps=707 rejected=330 ms=392.620/11.469
very-wide nodes=128 transported=128 accurate=128 seeds=2 err=2.550e-14 conn=164/164 steps=164 rejected=0 ms=91.003/1.822
very-close nodes=832 transported=832 accurate=831 seeds=13 err=9.499e-09 conn=3812/3812 steps=3812 rejected=7804 ms=2117.075/126.893
fold-tangent nodes=640 transported=640 accurate=640 seeds=10 err=4.849e-13 conn=820/820 steps=820 rejected=0 ms=455.206/9.141
rand000 nodes=256 transported=256 accurate=256 seeds=4 err=1.066e-13 conn=328/328 steps=328 rejected=0 ms=182.216/3.658
rand001 nodes=192 transported=192 accurate=192 seeds=3 err=2.878e-14 conn=246/246 steps=246 rejected=0 ms=136.461/2.728
rand002 nodes=128 transported=128 accurate=128 seeds=2 err=1.118e-14 conn=164/164 steps=164 rejected=0 ms=90.986/1.841
rand003 nodes=256 transported=256 accurate=256 seeds=4 err=5.918e-14 conn=388/388 steps=388 rejected=60 ms=215.271/4.972
rand004 nodes=192 transported=192 accurate=192 seeds=3 err=1.111e-13 conn=246/246 steps=246 rejected=0 ms=136.579/2.757
rand005 nodes=128 transported=128 accurate=128 seeds=2 err=3.434e-14 conn=164/164 steps=164 rejected=0 ms=91.032/1.820
rand006 nodes=320 transported=320 accurate=320 seeds=5 err=5.478e-14 conn=432/432 steps=432 rejected=22 ms=239.744/5.068
rand007 nodes=128 transported=128 accurate=128 seeds=2 err=2.605e-12 conn=164/164 steps=164 rejected=0 ms=91.021/1.828
rand008 nodes=128 transported=128 accurate=128 seeds=2 err=2.858e-11 conn=164/164 steps=164 rejected=0 ms=91.031/1.834
rand009 nodes=128 transported=128 accurate=128 seeds=2 err=2.246e-14 conn=164/164 steps=164 rejected=0 ms=91.011/1.843
rand010 nodes=320 transported=320 accurate=320 seeds=5 err=1.018e-13 conn=410/410 steps=410 rejected=0 ms=227.365/4.565
rand011 nodes=256 transported=256 accurate=256 seeds=4 err=1.710e-14 conn=328/328 steps=328 rejected=0 ms=181.976/3.664
rand012 nodes=128 transported=128 accurate=128 seeds=2 err=1.001e-14 conn=164/164 steps=164 rejected=0 ms=91.274/1.830
rand013 nodes=128 transported=128 accurate=128 seeds=2 err=3.567e-14 conn=172/172 steps=172 rejected=8 ms=95.404/2.002
rand014 nodes=128 transported=128 accurate=128 seeds=2 err=2.727e-14 conn=164/164 steps=164 rejected=0 ms=90.926/1.838
rand015 nodes=128 transported=128 accurate=128 seeds=2 err=5.948e-14 conn=164/164 steps=164 rejected=0 ms=90.995/1.819
rand016 nodes=256 transported=256 accurate=256 seeds=4 err=2.877e-15 conn=328/328 steps=328 rejected=0 ms=181.955/3.652
rand017 nodes=128 transported=128 accurate=128 seeds=2 err=1.189e-13 conn=164/164 steps=164 rejected=0 ms=91.030/1.813
rand018 nodes=128 transported=128 accurate=128 seeds=2 err=1.495e-12 conn=164/164 steps=164 rejected=0 ms=91.057/1.816
rand019 nodes=128 transported=128 accurate=128 seeds=2 err=6.699e-13 conn=164/164 steps=164 rejected=0 ms=91.039/1.828
rand020 nodes=192 transported=192 accurate=192 seeds=3 err=4.029e-13 conn=246/246 steps=246 rejected=0 ms=136.515/2.738
rand021 nodes=128 transported=128 accurate=128 seeds=2 err=1.261e-11 conn=164/164 steps=164 rejected=0 ms=91.238/1.844
rand022 nodes=128 transported=128 accurate=128 seeds=2 err=7.547e-13 conn=164/164 steps=164 rejected=0 ms=90.969/1.829
rand023 nodes=128 transported=128 accurate=128 seeds=2 err=1.924e-13 conn=164/164 steps=164 rejected=0 ms=91.050/1.818
rand024 nodes=128 transported=128 accurate=128 seeds=2 err=3.612e-11 conn=164/164 steps=164 rejected=0 ms=90.954/1.837
rand025 nodes=704 transported=704 accurate=704 seeds=11 err=8.912e-14 conn=953/953 steps=953 rejected=63 ms=528.758/11.281
rand026 nodes=128 transported=128 accurate=128 seeds=2 err=3.469e-13 conn=164/164 steps=164 rejected=0 ms=91.002/1.832
rand027 nodes=128 transported=128 accurate=128 seeds=2 err=3.328e-12 conn=164/164 steps=164 rejected=0 ms=91.026/1.829
rand028 nodes=256 transported=256 accurate=256 seeds=4 err=1.861e-14 conn=328/328 steps=328 rejected=0 ms=182.173/3.658
rand029 nodes=320 transported=320 accurate=320 seeds=5 err=4.336e-13 conn=513/513 steps=513 rejected=130 ms=284.614/7.115
rand030 nodes=320 transported=320 accurate=320 seeds=5 err=6.739e-15 conn=410/410 steps=410 rejected=0 ms=227.434/4.566
rand031 nodes=256 transported=256 accurate=256 seeds=4 err=6.095e-14 conn=462/462 steps=462 rejected=185 ms=256.421/7.180
rand032 nodes=128 transported=128 accurate=128 seeds=2 err=3.683e-13 conn=164/164 steps=164 rejected=0 ms=91.037/1.831
rand033 nodes=704 transported=704 accurate=704 seeds=11 err=9.148e-10 conn=1860/1860 steps=1860 rejected=2954 ms=1032.126/52.585
