# PF6 Phase 5 packet profile; timing requires GM6_PACKET_PROFILE=1
SUMMARY lane case u candidates built accepted rejected quality_rejected build_failed max_depth endpoint_root_ms algebraic_geometry_ms log_derivative_ms pfaffian_recurrence_ms quality_tail_ms accepted_ms rejected_ms
ARC lane case u arc_index cell_index cell_lo cell_hi radial_center theta_lo theta_hi event_gap_ratio nearest_event_kind xi_min_divisor chart2 constructions built accepted rejected quality_rejected build_failed max_depth accepted_node_sum accepted_node_min accepted_node_max node_failed first_failed_R first_failed_packet_center first_failed_packet_lo first_failed_packet_hi first_failed_block_lo first_failed_block_hi first_failed_phase_error first_failed_packet_tail construction_ms
SUMMARY value_cold plan15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SUMMARY value_warm plan15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SUMMARY value_cold plan15 0.5 275 275 130 145 145 0 12 0.96356299999999961 1.9917209999999994 1.4716469999999993 1.6209150000000012 0.2685539999999999 2.9699280000000012 3.4400450000000018
ARC value_cold plan15 0.5 0 1 0.61086409822535603 0.68433118317205743 0.64759764069870673 6.0118910382730189 6.2651098949130546 0.5 1 0.076548129876983423 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.1129569999999998
ARC value_cold plan15 0.5 1 3 0.72464331388395575 0.77033249937298154 0.74748790662846865 3.5159870968678204 4.701736219657394 0.5 1 0.098685574297738235 1 25 25 12 13 13 0 12 64 1 21 0 nan nan nan nan nan nan nan nan 0.56314700000000006
ARC value_cold plan15 0.5 2 4 0.77033249937298154 0.81649658092772603 0.79341454015035384 3.3057406182717228 5.3463054503961098 0.49999999999999878 4 0.33842982737686833 1 7 7 4 3 3 0 2 64 11 21 0 nan nan nan nan nan nan nan nan 0.15795700000000001
ARC value_cold plan15 0.5 3 5 0.81649658092772603 0.82684332504045766 0.82166995298409184 3.582124362724914 5.4256032194435591 0.5 4 0.10519600547298481 1 1 1 1 0 0 0 0 64 64 64 0 nan nan nan nan nan nan nan nan 0.022721000000000002
ARC value_cold plan15 0.5 4 6 0.82684332504045766 0.89132878967498075 0.85908605735771926 4.4915917717757434 5.4281800631558434 0.49999999999999911 1 0.24098526703610287 0 27 27 13 14 14 0 12 64 1 15 0 nan nan nan nan nan nan nan nan 0.61166599999999993
ARC value_cold plan15 0.5 5 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 1.4985145380321401 1.9500333096148104 0.5 1 0.03860025308895447 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.028427
ARC value_cold plan15 0.5 6 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 5.019365941518263 5.3389557971596018 0.5 1 0.03629132271161209 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.96737099999999976
ARC value_cold plan15 0.5 7 8 0.91110376604052135 1.0641740062861589 0.98763888616334006 1.1580974751342081 1.8085044789771461 0.49999999999999961 1 0.14799476955312046 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.96979800000000016
ARC value_cold plan15 0.5 8 12 1.5177022757222824 1.5841307436547978 1.5509165096885402 6.193499097745268 6.2763367528163601 0.49999999999999833 1 0.029198681023134651 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97592900000000016
SUMMARY value_warm plan15 0.5 275 275 130 145 145 0 12 0.93032599999999965 1.9458849999999999 1.4748480000000008 1.6484500000000011 0.25856400000000024 3.0009830000000002 3.3340339999999999
ARC value_warm plan15 0.5 0 1 0.61086409822535603 0.68433118317205743 0.64759764069870673 6.0118910382730189 6.2651098949130546 0.5 1 0.076548129876983423 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.006772
ARC value_warm plan15 0.5 1 3 0.72464331388395575 0.77033249937298154 0.74748790662846865 3.5159870968678204 4.701736219657394 0.5 1 0.098685574297738235 1 25 25 12 13 13 0 12 64 1 21 0 nan nan nan nan nan nan nan nan 0.56577700000000009
ARC value_warm plan15 0.5 2 4 0.77033249937298154 0.81649658092772603 0.79341454015035384 3.3057406182717228 5.3463054503961098 0.49999999999999878 4 0.33842982737686833 1 7 7 4 3 3 0 2 64 11 21 0 nan nan nan nan nan nan nan nan 0.15787499999999999
ARC value_warm plan15 0.5 3 5 0.81649658092772603 0.82684332504045766 0.82166995298409184 3.582124362724914 5.4256032194435591 0.5 4 0.10519600547298481 1 1 1 1 0 0 0 0 64 64 64 0 nan nan nan nan nan nan nan nan 0.022706
ARC value_warm plan15 0.5 4 6 0.82684332504045766 0.89132878967498075 0.85908605735771926 4.4915917717757434 5.4281800631558434 0.49999999999999911 1 0.24098526703610287 0 27 27 13 14 14 0 12 64 1 15 0 nan nan nan nan nan nan nan nan 0.61213700000000004
ARC value_warm plan15 0.5 5 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 1.4985145380321401 1.9500333096148104 0.5 1 0.03860025308895447 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.0133390000000002
ARC value_warm plan15 0.5 6 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 5.019365941518263 5.3389557971596018 0.5 1 0.03629132271161209 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.0111859999999999
