# Lauricella6 Phase 6 hybrid packet profile; timing requires GM6_PACKET_PROFILE=1
SUMMARY lane case u candidates built accepted rejected quality_rejected build_failed max_depth endpoint_root_ms algebraic_geometry_ms log_derivative_ms pfaffian_recurrence_ms quality_tail_ms accepted_ms rejected_ms
ARC lane case u arc_index cell_index cell_lo cell_hi radial_center theta_lo theta_hi event_gap_ratio nearest_event_kind xi_min_divisor chart2 constructions built accepted rejected quality_rejected build_failed max_depth accepted_node_sum accepted_node_min accepted_node_max node_failed first_failed_R first_failed_packet_center first_failed_packet_lo first_failed_packet_hi first_failed_block_lo first_failed_block_hi first_failed_phase_error first_failed_packet_tail construction_ms fold_constructions fold_accepted fold_rejected fold_construction_ms fold_taylor_tail fold_moment_tail fold_pair_residual fold_v_center fold_v_side fold_v_ratio fold_event_radius fold_failure_reason
SUMMARY value_cold plan15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SUMMARY value_warm plan15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
SUMMARY value_cold plan15 0.5 232 232 110 122 122 0 12 0.83189899999999994 1.6944839999999983 1.2625579999999994 1.4187640000000012 0.21764900000000004 2.6012260000000005 2.9017730000000013
ARC value_cold plan15 0.5 0 1 0.61086409822535603 0.68433118317205743 0.64759764069870673 6.0118910382730189 6.2651098949130546 0.5 1 0.076548129876983423 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.1405419999999997 1 0 1 0.23516100000000001 3.3419442307329225e-11 1.9217138916867081e-12 8.9983046516450056e-15 0.0040607053047167913 1.4092645335712591e-09 3.4704920151046185e-07 0.61086409822535603 6
ARC value_cold plan15 0.5 1 3 0.72464331388395575 0.77033249937298154 0.74748790662846865 3.5159870968678204 4.701736219657394 0.5 1 0.098685574297738235 1 25 25 12 13 13 0 12 64 1 21 0 nan nan nan nan nan nan nan nan 0.57076099999999996 1 0 1 0.21456 2.0712027555020276e-06 0.00066993957374369029 7.4369854995194719e-07 0.1599954513764377 2.4186805183451432e-08 1.5117183004499708e-07 0.72464331388395575 6
ARC value_cold plan15 0.5 2 4 0.77033249937298154 0.81649658092772603 0.79341454015035384 3.3057406182717228 5.3463054503961098 0.49999999999999878 4 0.33842982737686833 1 7 7 4 3 3 0 2 64 11 21 0 nan nan nan nan nan nan nan nan 0.15787100000000001 0 0 0 0 inf inf inf nan nan inf nan 0
ARC value_cold plan15 0.5 3 5 0.81649658092772603 0.82684332504045766 0.82166995298409184 3.582124362724914 5.4256032194435591 0.5 4 0.10519600547298481 1 1 1 1 0 0 0 0 64 64 64 0 nan nan nan nan nan nan nan nan 0.022744 0 0 0 0 inf inf inf nan nan inf nan 0
ARC value_cold plan15 0.5 4 6 0.82684332504045766 0.89132878967498075 0.85908605735771926 4.4915917717757434 5.4281800631558434 0.49999999999999911 1 0.24098526703610287 0 27 27 13 14 14 0 12 64 1 15 0 nan nan nan nan nan nan nan nan 0.608877 1 0 1 0.219859 0.00088440115533815905 0.008455466506338662 0.00095314786936767084 0.1575040874914807 0.028498249455251434 0.18093657065752586 0.89132878967498075 6
ARC value_cold plan15 0.5 5 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 1.4985145380321401 1.9500333096148104 0.5 1 0.03860025308895447 1 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.0544549999999999 1 0 1 0.21562600000000001 0 6.9288801385607367e-08 1.7295527390134917e-16 0.03941554612448904 8.7151384648762288e-09 2.2110916432187851e-07 0.89132878967498075 6
ARC value_cold plan15 0.5 6 7 0.89132878967498075 0.91110376604052135 0.90121627785775105 5.019365941518263 5.3389557971596018 0.5 1 0.03629132271161209 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97356699999999985 0 0 0 0 inf inf inf 0.01225609643413339 0.028498233374369394 2.3252292055243169 0.89132878967498075 0
ARC value_cold plan15 0.5 7 8 0.91110376604052135 1.0641740062861589 0.98763888616334006 1.1580974751342081 1.8085044789771461 0.49999999999999961 1 0.14799476955312046 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 0.97418199999999999 0 0 0 0 inf inf inf 0.095299596444350224 0.1167946997645579 1.2255529312000775 0.91110376604052135 0
ARC value_cold plan15 0.5 8 12 1.5177022757222824 1.5841307436547978 1.5509165096885402 6.193499097745268 6.2763367528163601 0.49999999999999833 1 inf 0 0 0 0 0 0 0 0 0 0 0 0 nan nan nan nan nan nan nan nan 0 1 1 0 0.21559200000000001 1.025851204886804e-13 1.6128917270273877e-15 9.2019000195674233e-17 0.00042950276029262758 1.8404583562519671e-10 4.2850908687944899e-07 1.5177022757222824 0
SUMMARY value_warm plan15 0.5 232 232 110 122 122 0 12 0.79766700000000013 1.6515719999999998 1.2501090000000001 1.3966690000000008 0.21696900000000005 2.5222150000000005 2.857124999999999
ARC value_warm plan15 0.5 0 1 0.61086409822535603 0.68433118317205743 0.64759764069870673 6.0118910382730189 6.2651098949130546 0.5 1 0.076548129876983423 0 43 43 20 23 23 0 12 64 1 11 0 nan nan nan nan nan nan nan nan 1.0357630000000002 1 0 1 0.21684800000000001 3.3419442307329225e-11 1.9217138916867081e-12 8.9983046516450056e-15 0.0040607053047167913 1.4092645335712591e-09 3.4704920151046185e-07 0.61086409822535603 6
