max_level grad_rtol kind name u parameter rounds tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
4 0.01 budget caustic-cross 0 4 8 0.001 3 165 1 31.944397276958313 0.84692099081405281 10.84475612945038 2 0 0 Converged 2 10.844743359197178 0 1.1329738398111642e-10
4 0.01 budget caustic-cross 0 4 32 0.001 3 341 1 31.944397276958313 -2.7586112457274172 2.3632739421971234 2 0 0 Converged 2 2.3632611719375998 0 1.1961959411478874e-10
4 0.01 budget caustic-cross 0 4 64 0.001 3 569 1 31.944397276958313 -2.4025597533531284 0.42223593242104496 2 0 0 Converged 2 0.42222316209410321 0 1.8703715142183543e-10
4 0.001 budget caustic-cross 0 4 8 0.001 3 165 1 31.944397276958313 0.84692099081405281 10.84475612945038 2 0 0 Converged 2 10.844743359197178 0 1.1329738398111642e-10
4 0.001 budget caustic-cross 0 4 32 0.001 3 341 1 31.944397276958313 -2.7586112457274172 2.3632739421971234 2 0 0 Converged 2 2.3632611719375998 0 1.1961959411478874e-10
4 0.001 budget caustic-cross 0 4 64 0.001 3 569 1 31.944397276958313 -2.4025597533531284 0.42223593242104496 2 0 0 Converged 2 0.42222316209410321 0 1.8703715142183543e-10
5 0.01 budget caustic-cross 0 4 8 0.001 3 183 1 31.944397276958313 -0.99471036830480053 5.8906849583865997 2 0 0 Converged 2 5.8906721881287618 0 1.1793489233323677e-10
5 0.01 budget caustic-cross 0 4 32 0.001 3 411 1 31.944397276958313 -2.2358881049378545 1.9536795905961377 2 0 0 Converged 2 1.9536668203304037 0 1.2582972458648286e-10
5 0.01 budget caustic-cross 0 4 64 0.001 3 715 1 31.944397276958313 -2.3624849808369399 0.60850651579842996 2 0 0 Converged 2 0.60849374546699275 0 1.9153272926194802e-10
5 0.001 budget caustic-cross 0 4 8 0.001 3 183 1 31.944397276958313 -0.99471036830480053 5.8906849583865997 2 0 0 Converged 2 5.8906721881287618 0 1.1793489233323677e-10
5 0.001 budget caustic-cross 0 4 32 0.001 3 411 1 31.944397276958313 -2.2358881049378545 1.9536795905961377 2 0 0 Converged 2 1.9536668203304037 0 1.2582972458648286e-10
5 0.001 budget caustic-cross 0 4 64 0.001 3 715 1 31.944397276958313 -2.3624849808369399 0.60850651579842996 2 0 0 Converged 2 0.60849374546699275 0 1.9153272926194802e-10
6 0.01 budget caustic-cross 0 4 8 0.001 3 207 1 31.944397276958313 1.1504809166760461 10.239777547189425 2 0 0 Converged 2 10.239764776931743 0 1.1777738230387396e-10
6 0.01 budget caustic-cross 0 4 32 0.001 3 575 1 31.944397276958313 -2.4746794165179296 1.0452591418800874 2 0 0 Converged 2 1.0452463716005314 0 1.3965152505518435e-10
6 0.01 budget caustic-cross 0 4 64 0.001 3 1009 1 31.944397276958313 -2.8558252087372198 1.3177083240008802 2 0 0 Converged 2 1.3176955537407267 0 1.2024927361488203e-10
6 0.001 budget caustic-cross 0 4 8 0.001 3 207 1 31.944397276958313 1.1504809166760461 10.239777547189425 2 0 0 Converged 2 10.239764776931743 0 1.1777738230387396e-10
