max_level	grad_rtol	kind	name	u	parameter	rounds	tol	level	nodes	converged	mu	grad	error	quality	n	h	stop	grad_reason	radial	inner	geometry	reference	relative_error
0	0.01	budget	caustic-cross	0.0	4	8	0.001	3	385	1	31.944397276958316	-2.3805652373157327	10.949371728329504	2	0	0	Converged	2	10.94935895807122	0.0	1.18380587070403e-10	-2.404688419943568	0.010031729028911581
0	0.01	budget	caustic-cross	0.0	4	32	0.001	3	1395	1	31.944397276958316	-2.22847389048734	4.601017133112326	2	0	0	Converged	2	4.601004362790193	0.0	1.822290195373289e-10	-2.404688419943568	0.0732795683610284
0	0.01	budget	caustic-cross	0.0	4	64	0.001	3	2650	1	31.944397276958316	-2.417061492648955	1.40319034374008	2	0	0	Converged	2	1.4031775641584132	0.0	2.4555238673383045e-10	-2.404688419943568	0.005145395387930198
0	0.001	budget	caustic-cross	0.0	4	8	0.001	3	385	1	31.944397276958316	-2.3805652373157327	10.949371728329504	2	0	0	Converged	2	10.94935895807122	0.0	1.18380587070403e-10	-2.404688419943568	0.010031729028911581
0	0.001	budget	caustic-cross	0.0	4	32	0.001	3	1395	1	31.944397276958316	-2.22847389048734	4.601017133112326	2	0	0	Converged	2	4.601004362790193	0.0	1.822290195373289e-10	-2.404688419943568	0.0732795683610284
0	0.001	budget	caustic-cross	0.0	4	64	0.001	3	2650	1	31.944397276958316	-2.417061492648955	1.40319034374008	2	0	0	Converged	2	1.4031775641584132	0.0	2.4555238673383045e-10	-2.404688419943568	0.005145395387930198
4	0.01	budget	caustic-cross	0.0	4	8	0.001	3	165	1	31.944397276958316	-0.841741249983091	15.63886503800532	2	0	0	Converged	2	15.638852267753691	0.0	1.1172635004403087e-10	-2.404688419943568	0.6499582885657824
4	0.01	budget	caustic-cross	0.0	4	32	0.001	3	341	1	31.944397276958316	-2.758611245727417	4.775711449180659	2	0	0	Converged	2	4.775698678921136	0.0	1.1961959411478874e-10	-2.404688419943568	0.14718032608655152
4	0.01	budget	caustic-cross	0.0	4	64	0.001	3	577	1	31.944397276958316	-2.402568899035352	0.7408666338798364	2	0	0	Converged	2	0.740853854350283	0.0	1.9343923085634091e-10	-2.404688419943568	0.0008814118663514165
4	0.001	budget	caustic-cross	0.0	4	8	0.001	3	165	1	31.944397276958316	-0.841741249983091	15.63886503800532	2	0	0	Converged	2	15.638852267753691	0.0	1.1172635004403087e-10	-2.404688419943568	0.6499582885657824
4	0.001	budget	caustic-cross	0.0	4	32	0.001	3	341	1	31.944397276958316	-2.758611245727417	4.775711449180659	2	0	0	Converged	2	4.775698678921136	0.0	1.1961959411478874e-10	-2.404688419943568	0.14718032608655152
4	0.001	budget	caustic-cross	0.0	4	64	0.001	3	577	1	31.944397276958316	-2.402568899035352	0.7408666338798364	2	0	0	Converged	2	0.740853854350283	0.0	1.9343923085634091e-10	-2.404688419943568	0.0008814118663514165
5	0.01	budget	caustic-cross	0.0	4	8	0.001	3	183	1	31.944397276958316	-2.799671972323696	12.71229735858246	2	0	0	Converged	2	12.71228458833056	0.0	1.119948216681428e-10	-2.404688419943568	0.16425560546816997
5	0.01	budget	caustic-cross	0.0	4	32	0.001	3	411	1	31.944397276958316	-2.2358881049378545	5.283677190370176	2	0	0	Converged	2	5.283664420104441	0.0	1.2582972458648286e-10	-2.404688419943568	0.07019633546107187
5	0.01	budget	caustic-cross	0.0	4	64	0.001	3	715	1	31.944397276958316	-2.228877834623212	1.4901896355000717	2	0	0	Converged	2	1.4901768559661983	0.0	1.9775892340683198e-10	-2.404688419943568	0.0731115864584576
5	0.001	budget	caustic-cross	0.0	4	8	0.001	3	183	1	31.944397276958316	-2.799671972323696	12.71229735858246	2	0	0	Converged	2	12.71228458833056	0.0	1.119948216681428e-10	-2.404688419943568	0.16425560546816997
5	0.001	budget	caustic-cross	0.0	4	32	0.001	3	411	1	31.944397276958316	-2.2358881049378545	5.283677190370176	2	0	0	Converged	2	5.283664420104441	0.0	1.2582972458648286e-10	-2.404688419943568	0.07019633546107187
5	0.001	budget	caustic-cross	0.0	4	64	0.001	3	715	1	31.944397276958316	-2.228877834623212	1.4901896355000717	2	0	0	Converged	2	1.4901768559661983	0.0	1.9775892340683198e-10	-2.404688419943568	0.0731115864584576
0	0.01	budget	caustic-cross	0.5	0	8	0.001	3	361	1	33.28933563882105	84.19172584582064	99.23808656691	2	0	0	Converged	2	99.23582107096509	0.0022517424357517	2.0307602540746127e-10	77.45309452467096	0.08700273839934493
0	0.01	budget	caustic-cross	0.5	0	32	0.001	3	1363	1	33.28933563882105	84.08964697064262	44.6042892671707	2	0	0	Converged	2	44.54802006379365	0.0562554494822935	5.886409569031701e-10	77.45309452467096	0.08568479396078531
