kind name u parameter safety tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
adaptive caustic-cross 0 4 1 0.001 3 75 1 31.943219179425942 -1.7271088363406735 18.623767519364907 2 0 0 Converged 2 18.623754747825654 0 3.0372447470033768e-10
adaptive caustic-cross 0 4 1 0.0001 3 131 1 31.943801777427282 -2.0665850682765035 12.406844477075255 2 0 0 Converged 2 12.406831695573059 0 1.0537377083391643e-09
adaptive caustic-cross 0 4 1 1.0000000000000001e-05 3 355 1 31.943890935801921 -2.503677623786829 7.0335534175607153 2 0 0 Converged 2 7.0335406226418566 0 1.4465924815935404e-08
adaptive caustic-cross 0 4 1 9.9999999999999995e-07 3 841 1 31.943881947310054 -2.3069607228935314 4.3769308338001132 2 0 0 Converged 2 4.3769180505299241 0 3.9507424396256982e-10
adaptive caustic-cross 0 4 1 9.9999999999999995e-08 3 1937 1 31.943882722654816 -2.402571244525622 2.0521568095300422 2 0 0 Converged 2 2.0521440256107004 0 4.5785927843355815e-10
adaptive caustic-cross 0 4 1 1e-08 3 3335 1 31.94388270116178 -2.3941305175454501 0.87824710665706507 2 0 0 Converged 2 0.87823432218239728 0 9.4669193573358678e-10
adaptive caustic-cross 0 4 2 0.001 3 107 1 31.944397276958313 -2.7995958699951986 15.10301783467165 2 0 0 Converged 2 15.103005062378106 0 1.0412968673651578e-09
adaptive caustic-cross 0 4 2 0.0001 3 195 1 31.943948575450047 -2.6025619653747549 9.9527853984685688 2 0 0 Converged 2 9.9527726145933517 0 3.425612056269177e-09
adaptive caustic-cross 0 4 2 1.0000000000000001e-05 3 355 1 31.943890935801921 -2.503677623786829 7.0335534175607153 2 0 0 Converged 2 7.0335406226418566 0 1.4465924815935404e-08
adaptive caustic-cross 0 4 2 9.9999999999999995e-07 3 857 1 31.943881947310004 -2.3069607228954823 4.3764601525533475 2 0 0 Converged 2 4.3764473686754579 0 4.1640649467048434e-10
adaptive caustic-cross 0 4 2 9.9999999999999995e-08 3 1937 1 31.943882722654816 -2.402571244525622 2.0521568095300422 2 0 0 Converged 2 2.0521440256107004 0 4.5785927843355815e-10
adaptive caustic-cross 0 4 2 1e-08 3 3335 1 31.94388270116178 -2.3941305175454501 0.87824710665706507 2 0 0 Converged 2 0.87823432218239728 0 9.4669193573358678e-10
adaptive caustic-cross 0 4 4 0.001 3 123 1 31.943789051864378 -2.0665759225942795 13.389151858100995 2 0 0 Converged 2 13.389139085801411 0 1.0473356289046588e-09
adaptive caustic-cross 0 4 4 0.0001 3 227 1 31.943872600409254 -2.2357221637392408 8.7627564806282567 2 0 0 Converged 2 8.7627436967473979 0 3.4312531703966662e-09
adaptive caustic-cross 0 4 4 1.0000000000000001e-05 3 435 1 31.943881440557966 -2.3202163105686959 6.1943010603539781 2 0 0 Converged 2 6.1942882628091569 0 1.4595387877609598e-08
adaptive caustic-cross 0 4 4 9.9999999999999995e-07 3 857 1 31.943881947310004 -2.3069607228954823 4.3764601525533475 2 0 0 Converged 2 4.3764473686754579 0 4.1640649467048434e-10
adaptive caustic-cross 0 4 4 9.9999999999999995e-08 3 2207 1 31.943882683903844 -2.3835718257355909 1.7564809980224421 2 0 0 Converged 2 1.7564682140875025 0 4.7345666602597803e-10
adaptive caustic-cross 0 4 4 1e-08 3 3605 1 31.943882704468095 -2.4039403953379237 0.72558063729064748 2 0 0 Converged 2 0.72556785281567837 0 9.4699330692587643e-10
dense caustic-cross 0 4 2 1e-8 5 3177 1 31.943882706005656 -2.4036302359499673 1.0260320152265658 2 0 0 Converged 2 1.0260192308337968 0 8.647947325823233e-10
dense caustic-cross 0 4 2 1e-8 6 3561 1 31.943882706005656 -2.4036302368969031 1.0260320210718028 2 0 0 Converged 2 1.0260192345500112 0 2.7959577834113156e-09
dense caustic-cross 0 4 2 1e-8 7 4329 1 31.943882706005656 -2.4036302362156152 1.0260320476184479 2 0 0 Converged 2 1.0260192521850588 0 1.1694360531863002e-08
fd caustic-cross 0 4 0 0 0 0 1 31.943875689921857 -2.4046831939017466 0 0 128 2.0000000000000002e-05 NA 0 0 0 0
