kind name u parameter safety tol level nodes converged mu grad error quality n h stop grad_reason radial inner geometry
budget caustic-cross 0 4 4 0.001 3 322 1 31.944397276958313 -2.8705082797401191 9.2058897164267695 2 0 0 Converged 2 9.2058769307161619 0 1.4453881622373409e-08
budget caustic-cross 0 4 8 0.001 3 385 1 31.944397276958313 -2.3805652373157331 10.949371728329504 2 0 0 Converged 2 10.949358958071219 0 1.1838058707040301e-10
budget caustic-cross 0 4 16 0.001 3 679 1 31.944397276958313 -2.2357203947694204 8.0628329252785917 2 0 0 Converged 2 8.0628201550144301 0 1.2425776375572366e-10
budget caustic-cross 0 4 32 0.001 3 1395 1 31.944397276958313 -2.22847389048734 4.6010171331123262 2 0 0 Converged 2 4.6010043627901931 0 1.8222901953732894e-10
budget caustic-cross 0 4 64 0.001 3 2650 1 31.944397276958313 -2.4170614926489549 1.4031903437400799 2 0 0 Converged 2 1.4031775641584132 0 2.4555238673383045e-10
budget caustic-cross 0.5 0 4 0.001 3 323 1 33.289335638821051 76.075961612880732 65.330702310431178 2 0 0 Converged 2 65.328438312299625 0.0022507727489779941 4.5851474300983434e-08
budget caustic-cross 0.5 0 8 0.001 3 361 1 33.289335638821051 84.191725845820642 99.238086566910013 2 0 0 Converged 2 99.235821070965088 0.0022517424357517048 2.0307602540746132e-10
budget caustic-cross 0.5 0 16 0.001 3 655 1 33.289335638821051 83.474762913236987 73.859445722467569 2 0 0 Converged 2 73.857181207729198 0.0022507611938169954 2.3843533051131424e-10
budget caustic-cross 0.5 0 32 0.001 3 1363 1 33.289335638821051 84.089646970642633 44.604289267170699 2 0 0 Converged 2 44.548020063793651 0.05625544948229351 5.8864095690317008e-10
budget caustic-cross 0.5 0 64 0.001 3 2651 1 33.289335638821051 77.734212550986143 15.383128953052578 2 0 0 Converged 2 15.326857782568554 0.056257416239109105 9.3880272284742618e-10
budget rand030 0 2 4 0.001 3 187 1 2.5376970830853254 0.012998676937289741 0.0040112304403081321 2 0 0 Converged 2 0.0036046094606931541 0 3.609854626568036e-08
budget rand030 0 2 8 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004570955709956102 2 0 0 Converged 4 5.0348422244492503e-05 0 1.2443853845767274e-07
budget rand030 0 2 16 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004570955709956102 2 0 0 Converged 4 5.0348422244492503e-05 0 1.2443853845767274e-07
budget rand030 0 2 32 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004570955709956102 2 0 0 Converged 4 5.0348422244492503e-05 0 1.2443853845767274e-07
budget rand030 0 2 64 0.001 3 203 1 2.5376970830853254 0.012998690193075544 0.0004570955709956102 2 0 0 Converged 4 5.0348422244492503e-05 0 1.2443853845767274e-07
