type	row	name	axis	h_index	offset	resolution	nr	subdivisions	angular	mu0	mu_half	fail	segment	node	kind	sturm_roots	fail_R	radial_nodes	arc_nodes	full_nodes	empty_nodes	min_phi
TOPO	99	rand035	X	0	-2	7.5309254797077812e-05	0	11	12	3.3562138254770781
REF	99	rand035	X	0	-2	0	48	1	96	6.3048619064426479	6.2902466235385264	0	-1	-1	-1	-1	nan	144	144	0	0	6.7196004218652177e-10
REF	99	rand035	X	0	-2	1	48	1	384	6.3048619064426479	6.2902466235385264	0	-1	-1	-1	-1	nan	144	144	0	0	4.2001016541620807e-11
REF	99	rand035	X	0	-2	2	80	1	384	6.3048619064426523	6.2902466235385317	0	-1	-1	-1	-1	nan	240	238	0	2	7.8977362285811759e-12
REF	99	rand035	X	0	-2	3	80	4	384	6.3048619064426505	6.2902466235385299	0	-1	-1	-1	-1	nan	960	956	0	4	4.9360865190829697e-13
REF	99	rand035	X	0	-2	4	112	8	768	6.3048619064426514	6.2902466235385299	0	-1	-1	-1	-1	nan	2688	2680	0	8	8.088645438226902e-15
TOPO	99	rand035	X	0	-1	7.5309254797077812e-05	0	11	12	3.356210813630947
REF	99	rand035	X	0	-1	0	48	1	96	6.3061462186551367	6.2915215734259355	0	-1	-1	-1	-1	nan	144	144	0	0	6.2543756156335249e-10
REF	99	rand035	X	0	-1	1	48	1	384	6.3061462186551367	6.2915215734259364	0	-1	-1	-1	-1	nan	144	144	0	0	3.9093118221797218e-11
REF	99	rand035	X	0	-1	2	80	1	384	6.3061462186551429	6.2915215734259418	0	-1	-1	-1	-1	nan	240	238	0	2	7.8977405462780759e-12
REF	99	rand035	X	0	-1	3	80	4	384	6.3061462186551411	6.2915215734259409	0	-1	-1	-1	-1	nan	960	956	0	4	4.9360890629036648e-13
REF	99	rand035	X	0	-1	4	112	8	768	6.3061462186551394	6.2915215734259391	0	-1	-1	-1	-1	nan	2688	2680	0	8	8.0886359873670469e-15
TOPO	99	rand035	X	0	1	7.5309254797077812e-05	0	11	12	3.3562047979692293
REF	99	rand035	X	0	1	0	48	1	96	6.3087133594614757	6.2940699058278673	0	-1	-1	-1	-1	nan	240	240	0	0	3.1211860909049757e-13
REF	99	rand035	X	0	1	1	48	1	384	6.3087133594614757	6.2940699058278682	0	-1	-1	-1	-1	nan	240	240	0	0	1.9509045252867727e-14
REF	99	rand035	X	0	1	2	80	1	384	6.3087131514162138	6.2940697810007116	0	-1	-1	-1	-1	nan	400	399	0	1	2.5712701265454574e-15
REF	99	rand035	X	0	1	3	80	4	384	6.3087131505284848	6.2940697804680745	0	-1	-1	-1	-1	nan	1600	1598	0	2	1.6075742825206384e-16
REF	99	rand035	X	0	1	4	112	8	768	6.3087131505284813	6.2940697804680728	0	-1	-1	-1	-1	nan	4480	4476	0	4	2.6353747728545032e-18
TOPO	99	rand035	X	0	2	7.5309254797077812e-05	0	11	12	3.3562017941564553
REF	99	rand035	X	0	2	0	48	1	96	6.3099958068812274	6.2953430582779726	0	-1	-1	-1	-1	nan	240	240	0	0	1.0198357813332536e-12
REF	99	rand035	X	0	2	1	48	1	384	6.3099958068812274	6.2953430582779735	0	-1	-1	-1	-1	nan	240	240	0	0	6.3745069435303132e-14
REF	99	rand035	X	0	2	2	80	1	384	6.3099957667509265	6.295343034199794	0	-1	-1	-1	-1	nan	400	399	0	1	8.4016102472764495e-15
REF	99	rand035	X	0	2	3	80	4	384	6.3099957667040805	6.2953430341716858	0	-1	-1	-1	-1	nan	1600	1598	0	2	5.2510199280362382e-16
REF	99	rand035	X	0	2	4	112	8	768	6.3099957667040805	6.2953430341716858	0	-1	-1	-1	-1	nan	4480	4476	0	4	8.590147212485483e-18
TOPO	99	rand035	X	1	-2	3.7654627398538906e-05	0	11	12	3.356210813630947
REF	99	rand035	X	1	-2	0	48	1	96	6.3061462186551367	6.2915215734259355	0	-1	-1	-1	-1	nan	144	144	0	0	6.2543756156335249e-10
REF	99	rand035	X	1	-2	1	48	1	384	6.3061462186551367	6.2915215734259364	0	-1	-1	-1	-1	nan	144	144	0	0	3.9093118221797218e-11
REF	99	rand035	X	1	-2	2	80	1	384	6.3061462186551429	6.2915215734259418	0	-1	-1	-1	-1	nan	240	238	0	2	7.8977405462780759e-12
REF	99	rand035	X	1	-2	3	80	4	384	6.3061462186551411	6.2915215734259409	0	-1	-1	-1	-1	nan	960	956	0	4	4.9360890629036648e-13
REF	99	rand035	X	1	-2	4	112	8	768	6.3061462186551394	6.2915215734259391	0	-1	-1	-1	-1	nan	2688	2680	0	8	8.0886359873670469e-15
REF	99	rand035	X	1	-2	5	128	16	1024	6.3061462186551456	6.2915215734259453	0	-1	-1	-1	-1	nan	6144	6130	0	14	6.6825272645407187e-16
TOPO	99	rand035	X	1	-1	3.7654627398538906e-05	0	11	12	3.3562093087114357
REF	99	rand035	X	1	-1	0	48	1	96	6.3067981403722939	6.2921648232134109	0	-1	-1	-1	-1	nan	192	192	0	0	3.8056916519249677e-14
REF	99	rand035	X	1	-1	1	48	1	384	6.3067981403722939	6.2921648232134109	0	-1	-1	-1	-1	nan	192	192	0	0	2.3787562962751186e-15
REF	99	rand035	X	1	-1	2	80	1	384	6.3067896089193649	6.2921597043416542	0	-1	-1	-1	-1	nan	320	318	0	2	3.1353927883599392e-16
REF	99	rand035	X	1	-1	3	80	4	384	6.3067882086928106	6.2921588642057218	0	-1	-1	-1	-1	nan	1280	1276	0	4	1.9596479206548747e-17
REF	99	rand035	X	1	-1	4	112	8	768	6.3067881637257353	6.2921588372254771	0	-1	-1	-1	-1	nan	3584	3576	0	8	3.0626483858522022e-19
REF	99	rand035	X	1	-1	5	128	16	1024	6.3067881635195056	6.2921588371017405	0	-1	-1	-1	-1	nan	8192	8178	0	14	3.04969659027262e-20
TOPO	99	rand035	X	1	1	3.7654627398538906e-05	0	11	12	3.3562063008804008
REF	99	rand035	X	1	1	0	48	1	96	6.3080721892858254	6.2934332766055912	0	-1	-1	-1	-1	nan	192	192	0	0	7.45907512616089e-13
REF	99	rand035	X	1	1	1	48	1	384	6.3080721892858254	6.2934332766055912	0	-1	-1	-1	-1	nan	192	192	0	0	4.6623120167314136e-14
REF	99	rand035	X	1	1	2	80	1	384	6.3080716349852857	6.2934329440252679	0	-1	-1	-1	-1	nan	320	318	0	2	6.1448742439477014e-15
