case config profile bin epoch s q rho x y time u X ref tol cold_ms shadow_cold_ms warm_ms shadow_warm_ms radial_ms shadow_radial_ms cold_mu shadow_cold_mu warm_mu shadow_warm_mu radial_mu shadow_radial_mu cold_ok shadow_cold_ok warm_ok shadow_warm_ok radial_ok shadow_radial_ok cold_status shadow_cold_status warm_status shadow_warm_status radial_status shadow_radial_status cold_nodes shadow_cold_nodes warm_nodes shadow_warm_nodes radial_nodes shadow_radial_nodes cold_jet_attempts cold_jet_successes cold_shadow_panels cold_local_budget_passes cold_jet_ms cold_model_ms warm_jet_attempts warm_jet_successes warm_shadow_panels warm_local_budget_passes warm_jet_ms warm_model_ms radial_jet_attempts radial_jet_successes radial_shadow_panels radial_local_budget_passes radial_jet_ms radial_model_ms
0 0 uniform 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0 -1.0576909932376057 6.8139830013407305 0.001 50.677695999999997 49.624541999999998 49.373050999999997 49.528646999999999 0.229708 0.18898400000000001 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 6.8139867820873175 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 67 67 67 67 67 67 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0 -1.0577120131363507 6.9223164812350113 0.001 49.545687999999998 49.578972999999998 49.482765000000001 49.502676000000001 0.260104 0.29485699999999998 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 6.9223389959710024 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 83 83 83 83 83 83 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0 -1.0577360358777737 7.0045095553354182 0.001 49.627445000000002 49.637161999999996 49.412365000000001 49.497709 0.247723 0.26372000000000001 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 7.004505411003394 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 91 91 91 91 91 91 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0 -1.0577600586191964 7.0403851828477153 0.001 49.638517999999998 49.662846000000002 49.597605999999999 49.587207999999997 0.27935900000000002 0.31284299999999998 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 7.0403829421860307 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 91 91 91 91 91 91 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0 -1.0576909932376057 6.8139830013407305 0.0001 49.736711999999997 49.558472999999999 49.748379999999997 49.557907 0.37281599999999998 0.358566 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 6.8139823806006667 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0 -1.0577120131363507 6.9223164812350113 0.0001 49.732421000000002 49.654184999999998 49.600008000000003 49.444591000000003 0.268063 0.30536600000000003 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 6.9223156673031889 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0 -1.0577360358777737 7.0045095553354182 0.0001 49.654966000000002 49.957284000000001 49.491534000000001 49.715994000000002 0.353823 0.30666900000000002 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 7.0045086824761214 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 0 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0 -1.0577600586191964 7.0403851828477153 0.0001 49.748815999999998 49.742139000000002 49.765171000000002 49.66901 0.30961699999999998 0.38292399999999999 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 7.0403853999323944 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 107 107 107 107 107 107 35 33 5 0 0 0 35 33 5 0 0 0 35 33 5 0 0 0
0 0 uniform 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0 0.10924686468716169 627.73840599620598 0.001 0.82136600000000004 0.86699700000000002 0.78357900000000003 0.78802499999999998 0.19509000000000001 0.23818600000000001 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 627.72831737402873 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 105 105 105 105 105 105 49 45 7 1 0 0 49 45 7 1 0 0 49 45 7 1 0 0
0 0 uniform 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0 0.10922584478841664 631.60308179632364 0.001 0.64004899999999998 0.66771899999999995 0.49019499999999999 0.51336700000000002 0.181642 0.18592900000000001 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 631.61507920936958 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 105 105 105 105 105 105 49 45 7 1 0 0 49 45 7 1 0 0 49 45 7 1 0 0
0 0 uniform 1 15 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.02593623027457688 0 0.10920182204699373 635.57229076759938 0.001 0.83191599999999999 0.83469199999999999 0.63923600000000003 0.65108900000000003 0.25400600000000001 0.240178 635.58150147373738 635.58150147373738 635.58150147373738 635.58150147373738 635.58150147373738 635.58150147373738 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 128 128 128 128 128 128 56 52 8 2 0 0 56 52 8 2 0 0 56 52 8 2 0 0
0 0 uniform 1 23 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025912207533153965 0 0.10917779930557081 638.98258495925404 0.001 0.634185 0.65342999999999996 0.496029 0.51557600000000003 0.21932199999999999 0.23518500000000001 638.99054014711896 638.99054014711896 638.99054014711896 638.99054014711896 638.99054014711896 638.99054014711896 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 128 128 128 128 128 128 56 52 8 2 0 0 56 52 8 2 0 0 56 52 8 2 0 0
0 0 uniform 1 0 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0 0.10924686468716169 627.73840599620598 0.0001 0.87990599999999997 0.89430100000000001 0.84376799999999996 0.85728000000000004 0.285109 0.29706500000000002 627.73684679954704 627.73684679954704 627.73684679954704 627.73684679954704 627.73684679954704 627.73684679954704 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 153 153 153 153 153 153 49 45 7 1 0 0 49 45 7 1 0 0 49 45 7 1 0 0
0 0 uniform 1 7 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0 0.10922584478841664 631.60308179632364 0.0001 0.69516500000000003 0.71085200000000004 0.54133299999999995 0.57646600000000003 0.21493699999999999 0.22815199999999999 631.60368782152102 631.60368782152102 631.60368782152102 631.60368782152102 631.60368782152102 631.60368782152102 1 1 1 1 1 1 Converged Converged Converged Converged Converged Converged 137 137 137 137 137 137 49 45 7 1 0 0 49 45 7 1 0 0 49 45 7 1 0 0
