row	case	u	parameter	event_index	kind	physically_real	detail	R	R_lo	uncertainty	fold_t_seed	fold_t_seed_valid	tier	positive_certified	positive_root_id	d14_condition
17	caustic-cross	0	a	0	physical_real	1	D14 real root	0.55440951894073376	4.8743969053646292e-17	7.5822476773385561e-31	0	1	2	0	-1	0.11012005676247194
17	caustic-cross	0	a	1	physical_real	1	D14 real root	0.56266096077992589	-3.3932552145780678e-17	4.4839860443403993e-31	0	1	2	0	-1	0.090175979540399187
17	caustic-cross	0	a	2	L_root	0	Res(P,B) axis root	0.67004418472761151	0	inf	0	0	0	0	-1	inf
17	caustic-cross	0	a	3	R_eq_sqrt_m0	0	P acquires factor A	0.81649658092772603	0	inf	0	0	0	0	-1	inf
17	caustic-cross	0	a	4	chart_p4	0	p4(R)=0 : boundary point at theta=pi	0.83746378957463308	0	inf	0	0	0	0	-1	inf
17	caustic-cross	0	a	5	physical_complex	0	D14 real root	0.83746378957463308	-4.3467064799456211e-17	3.2508314259085468e-30	0	1	2	0	-1	1.1242014987264535e-07
17	caustic-cross	0	a	6	physical_complex	0	D14 complex root (Re v)	0.84972672439230301	0	inf	0	0	0	0	-1	inf
17	caustic-cross	0	a	7	chart_p4	0	p4(R)=0 : boundary point at theta=pi	0.85720378575239498	0	inf	0	0	0	0	-1	inf
17	caustic-cross	0	a	8	physical_complex	0	D14 real root	0.85720378575239498	5.4270783226335857e-17	8.7564234449842091e-31	0	1	2	0	-1	2.4751965270715629e-08
17	caustic-cross	0	a	9	physical_real	1	D14 real root	0.88965961535403337	-5.4383272443995243e-17	1.6261512663940584e-19	1.4761798465377434	1	2	0	-1	7.3670676588673926e-23
17	caustic-cross	0	a	10	physical_real	1	D14 real root	0.88965961535403337	-5.3407581684159706e-17	3.2523025327834109e-19	1.4761798465377434	1	2	0	-1	1.4734135317713471e-22
17	caustic-cross	0	a	11	R_eq_a	0	P<->B factor clash	1	0	inf	0	0	0	0	-1	inf
17	caustic-cross	0	a	12	physical_complex	0	D14 real root	1.2330836802811773	9.8793757092018606e-17	8.4659535806604991e-19	0	1	2	0	-1	8.9815602984386225e-16
17	caustic-cross	0	a	13	L_root	0	Res(P,B) axis root	1.2990013190433436	0	inf	0	0	0	0	-1	inf
17	caustic-cross	0	a	14	physical_real	1	D14 real root	1.4027942668116613	-8.8148253530056699e-17	3.8665285241352183e-31	0	1	2	0	-1	237.52971366542397
17	caustic-cross	0	a	15	physical_real	1	D14 real root	1.4148028287947072	-2.6881747413444248e-17	3.1377016288226659e-30	0	1	2	0	-1	355.62491819578929
99	rand035	0	X	0	physical_complex	0	D14 complex root (Re v)	0.88710447273576554	0	inf	0	0	0	0	-1	inf
99	rand035	0	X	1	physical_real	1	D14 real root	0.88716938242769516	-5.4025464860657665e-17	3.6234145584350017e-31	0.63306737158431503	1	2	0	-1	29.137392229826453
