row	case	u	parameter	cell	R	step	analytic_Fp	fd_Fp	relative_difference	base_ok	plus_ok	minus_ok
17	caustic-cross	0	a	1	0.55853523986032982	9.9999999999999995e-07	20.040589233797508	20.040589389758168	7.7822391579851541e-09	1	1	1
17	caustic-cross	0	a	1	0.55853523986032982	9.9999999999999995e-08	20.040589233797508	20.040589792102992	2.7858735167676313e-08	1	1	1
17	caustic-cross	0	a	5	0.84359525698346804	9.9999999999999995e-07	2714.4998287273424	2714.499828073258	2.4095948763133721e-10	1	1	1
17	caustic-cross	0	a	5	0.84359525698346804	9.9999999999999995e-08	2714.4998287273424	2714.4998250605568	1.3508144847617993e-09	1	1	1
17	caustic-cross	0	a	6	0.85346525507234894	9.9999999999999995e-07	2153.397188728869	2153.397188976669	1.1507399481101257e-10	1	1	1
17	caustic-cross	0	a	6	0.85346525507234894	9.9999999999999995e-08	2153.397188728869	2153.3971994358581	4.9721384843186467e-09	1	1	1
17	caustic-cross	0	a	7	0.88154565795362372	9.9999999999999995e-07	-1266.8638037179546	-1266.8638035790991	1.0960571418170181e-10	1	1	1
17	caustic-cross	0	a	7	0.88154565795362372	9.9999999999999995e-08	-1266.8638037179546	-1266.8637921819936	9.1059204309998144e-09	1	1	1
17	caustic-cross	0	a	12	1.4087985478031841	9.9999999999999995e-07	-47.362818624665486	-47.362818278884333	7.3006878197863382e-09	1	1	1
17	caustic-cross	0	a	12	1.4087985478031841	9.9999999999999995e-08	-47.362818624665486	-47.36282177120188	6.6434732466262024e-08	1	1	1
99	rand035	0	X	2	0.88718545951890337	9.9999999999999995e-07	-6878.3637424583912	-6878.4817007025995	1.7148878101426132e-05	1	1	1
99	rand035	0	X	2	0.88718545951890337	9.9999999999999995e-08	-6878.3637424583912	-6878.3649142600825	1.703605007698272e-07	1	1	1
99	rand035	0	X	3	0.93903499279300273	9.9999999999999995e-07	256.20002156268328	256.20002154624899	6.4146306248149976e-11	1	1	1
99	rand035	0	X	3	0.93903499279300273	9.9999999999999995e-08	256.20002156268328	256.20002180204438	9.3427431483451798e-10	1	1	1
99	rand035	0	X	8	1.0864375463482536	9.9999999999999995e-07	68.48904080498221	68.48904081024898	7.6899458202678829e-11	1	1	1
99	rand035	0	X	8	1.0864375463482536	9.9999999999999995e-08	68.48904080498221	68.4890406077443	2.8798462825916997e-09	1	1	1
99	rand035	0	X	11	3.0353038121262963	9.9999999999999995e-07	1.6861575104390709e-08	1.6861575110123762e-08	5.7330531679845761e-18	1	1	1
99	rand035	0	X	11	3.0353038121262963	9.9999999999999995e-08	1.6861575104390709e-08	1.6861575118395568e-08	1.4004859293514853e-17	1	1	1
99	rand035	0	Y	2	0.88718545951890337	9.9999999999999995e-07	-14533.647669534072	-14534.762763832143	7.6719126152231749e-05	1	1	1
99	rand035	0	Y	2	0.88718545951890337	9.9999999999999995e-08	-14533.647669534072	-14533.658811962669	7.6666369708426392e-07	1	1	1
99	rand035	0	Y	3	0.93903499279300273	9.9999999999999995e-07	541.33816463283961	541.33816466261919	5.5011057716040886e-11	1	1	1
99	rand035	0	Y	3	0.93903499279300273	9.9999999999999995e-08	541.33816463283961	541.33816473012075	1.7970494462709671e-10	1	1	1
99	rand035	0	Y	8	1.0864375463482536	9.9999999999999995e-07	144.71403558422585	144.71403557791973	4.3576447839570379e-11	1	1	1
99	rand035	0	Y	8	1.0864375463482536	9.9999999999999995e-08	144.71403558422585	144.71403591898024	2.3132130025657933e-09	1	1	1
99	rand035	0	Y	11	3.0353038121262963	9.9999999999999995e-07	9.0414710929575339e-10	9.0414714142546143e-10	3.2129708038977819e-17	1	1	1
99	rand035	0	Y	11	3.0353038121262963	9.9999999999999995e-08	9.0414710929575339e-10	9.0414707194228998e-10	3.7353463415476505e-17	1	1	1
100	rand035	0.5	X	2	0.88718545951890337	9.9999999999999995e-07	-4328.8569906394814	-4328.9277655211845	1.6349286829588007e-05	1	1	1
