rep policy target u epoch mode xs ys rho q a wall_ms topology_ms mu value_error value_converged value_stop stop status nodes evaluations panels splits events cells topology_status chart_events projective_folds g0 g0_error g0_quality g0_reason g1 g1_error g1_quality g1_reason g2 g2_error g2_quality g2_reason g3 g3_error g3_quality g3_reason g4 g4_error g4_quality g4_reason
0 ValueFirst 0.001 0 0 full-cold 0.12 -9.9999999999999995e-07 0.02 0.5 1 1.5400860000000001 0.64500900000000005 31.944397215721676 0.022403688186267912 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316061192 84.882125196054261 FiniteUncertified BudgetExceeded 0.061787318892838262 0.027507917375825055 FiniteUncertified BudgetExceeded -1206.7405903961055 86.508658184353379 FiniteUncertified BudgetExceeded -42.732438039757547 24.940774644346881 FiniteUncertified BudgetExceeded -2.8704987807453954 9.2080354370574629 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 0 full-warm 0.12 -9.9999999999999995e-07 0.02 0.5 1 1.6025590000000001 0.63462200000000002 31.944397215721676 0.022403688186267912 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316061192 84.882125196054261 FiniteUncertified BudgetExceeded 0.061787318892838262 0.027507917375825055 FiniteUncertified BudgetExceeded -1206.7405903961055 86.508658184353379 FiniteUncertified BudgetExceeded -42.732438039757547 24.940774644346881 FiniteUncertified BudgetExceeded -2.8704987807453954 9.2080354370574629 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 0 radial-only 0.12 -9.9999999999999995e-07 0.02 0.5 1 0.918408 0 31.944397215721676 0.022403688186267912 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316061192 84.882125196054261 FiniteUncertified BudgetExceeded 0.061787318892838262 0.027507917375825055 FiniteUncertified BudgetExceeded -1206.7405903961055 86.508658184353379 FiniteUncertified BudgetExceeded -42.732438039757547 24.940774644346881 FiniteUncertified BudgetExceeded -2.8704987807453954 9.2080354370574629 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 1 full-cold 0.12 0 0.02 0.5 1 1.4032359999999999 0.57624299999999995 31.944397276958295 0.02240423829987024 1 Converged Converged OK 322 322 5 0 16 14 OK 2 2 123.10725829503239 84.871341359140317 FiniteUncertified BudgetExceeded 3.7943430554041105e-10 1.8210343619107972e-07 ToleranceMet ToleranceMet -1206.7407569810389 86.482545643858231 FiniteUncertified BudgetExceeded -42.73246605641237 24.93274312702065 FiniteUncertified BudgetExceeded -2.8705082797018493 9.2058897163652649 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 1 full-warm 0.12 0 0.02 0.5 1 0.48318 0.47445100000000001 0 inf 0 EventLocationLimited EventLocationLimited GRADIENT_UNRELIABLE 0 0 0 0 16 14 OK 2 2 0 0 Invalid EventLocationLimited 0 0 Invalid EventLocationLimited 0 0 Invalid EventLocationLimited 0 0 Invalid EventLocationLimited 0 0 Invalid EventLocationLimited
0 ValueFirst 0.001 0 1 radial-only 0.12 0 0.02 0.5 1 0.81995799999999996 0 31.944397276958295 0.02240423829987024 1 Converged Converged OK 322 322 5 0 16 14 OK 2 2 123.10725829503239 84.871341359140317 FiniteUncertified BudgetExceeded 3.7943430554041105e-10 1.8210343619107972e-07 ToleranceMet ToleranceMet -1206.7407569810389 86.482545643858231 FiniteUncertified BudgetExceeded -42.73246605641237 24.93274312702065 FiniteUncertified BudgetExceeded -2.8705082797018493 9.2058897163652649 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 2 full-cold 0.12 9.9999999999999995e-07 0.02 0.5 1 1.413046 0.54819200000000001 31.944397215721676 0.022403688186287091 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316353596 84.882125193208594 FiniteUncertified BudgetExceeded -0.06178732561146863 0.027507911845635145 FiniteUncertified BudgetExceeded -1206.7405903895506 86.508658178042552 FiniteUncertified BudgetExceeded -42.732438041765114 24.940774642415242 FiniteUncertified BudgetExceeded -2.8704987812871035 9.2080354365302899 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 2 full-warm 0.12 9.9999999999999995e-07 0.02 0.5 1 1.386169 0.47013100000000002 31.944397215721676 0.022403688186287091 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316353596 84.882125193208594 FiniteUncertified BudgetExceeded -0.06178732561146863 0.027507911845635145 FiniteUncertified BudgetExceeded -1206.7405903895506 86.508658178042552 FiniteUncertified BudgetExceeded -42.732438041765114 24.940774642415242 FiniteUncertified BudgetExceeded -2.8704987812871035 9.2080354365302899 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 2 radial-only 0.12 9.9999999999999995e-07 0.02 0.5 1 0.87598500000000001 0 31.944397215721676 0.022403688186287091 1 Converged Converged OK 336 336 7 0 15 14 OK 2 0 123.10735316353596 84.882125193208594 FiniteUncertified BudgetExceeded -0.06178732561146863 0.027507911845635145 FiniteUncertified BudgetExceeded -1206.7405903895506 86.508658178042552 FiniteUncertified BudgetExceeded -42.732438041765114 24.940774642415242 FiniteUncertified BudgetExceeded -2.8704987812871035 9.2080354365302899 FiniteUncertified BudgetExceeded
0 ValueFirst 0.001 0 3 full-cold 0.12 0 0.02 0.5 1 1.39968 0.57323299999999999 31.944397276958295 0.02240423829987024 1 Converged Converged OK 322 322 5 0 16 14 OK 2 2 123.10725829503239 84.871341359140317 FiniteUncertified BudgetExceeded 3.7943430554041105e-10 1.8210343619107972e-07 ToleranceMet ToleranceMet -1206.7407569810389 86.482545643858231 FiniteUncertified BudgetExceeded -42.73246605641237 24.93274312702065 FiniteUncertified BudgetExceeded -2.8705082797018493 9.2058897163652649 FiniteUncertified BudgetExceeded
