row profile bin epoch event_index X Y rho q a radius topology old_decision old_p4_steps old_probe_ms fast_screen fast_screen_ms p4_interval_lo p4_interval_hi p3_interval_lo p3_interval_hi p3_qf_gate_hi d14_gap overlap_budget fast_reject_old_accept
3 resonant 0 0 6 0.050000000000000003 0.02 0.050000000000000003 0.29999999999999999 0.90000000000000002 0.89362903934338711 OK no_coincident_d14_event 3 0.020906000000000001 no_d14_overlap 0.0083059999999999991 0.89362903934338367 0.89362903934339055 nan nan nan 0.0009066521211792411 8.1327936732754011e-14 0
3 resonant 0 0 10 0.050000000000000003 0.02 0.050000000000000003 0.29999999999999999 0.90000000000000002 0.93978051010252206 OK no_coincident_d14_event 3 0.016459999999999999 no_d14_overlap 0.0059220000000000002 0.93978051010251851 0.93978051010252561 nan nan nan 0.0020846594034262811 8.3494337863473125e-14 0
4 resonant 0 0 6 0.050000000000000003 0.02 0.050000000000000003 0.29999999999999999 0.90000000000000002 0.89362903934338711 OK no_coincident_d14_event 3 0.016038 no_d14_overlap 0.0065729999999999998 0.89362903934338367 0.89362903934339055 nan nan nan 0.0009066521211792411 8.1327936732754011e-14 0
4 resonant 0 0 10 0.050000000000000003 0.02 0.050000000000000003 0.29999999999999999 0.90000000000000002 0.93978051010252206 OK no_coincident_d14_event 3 0.013440000000000001 no_d14_overlap 0.0067390000000000002 0.93978051010251851 0.93978051010252561 nan nan nan 0.0020846594034262811 8.3494337863473125e-14 0
5 close-binary 0 0 4 0.40000000000000002 -0.050000000000000003 0.089999999999999997 0.80000000000000004 0.55000000000000004 0.68948829131206057 OK no_coincident_d14_event 2 0.015034 no_d14_overlap 0.0058199999999999997 0.68948829131205747 0.68948829131206368 nan nan nan 0.0069429357936465763 7.2689810949623589e-14 0
5 close-binary 0 0 6 0.40000000000000002 -0.050000000000000003 0.089999999999999997 0.80000000000000004 0.55000000000000004 0.75331945704523851 OK no_coincident_d14_event 2 0.013004 no_d14_overlap 0.0052170000000000003 0.75331945704523529 0.75331945704524172 nan nan nan 0.0067399193055721618 7.5781070346204561e-14 0
6 close-binary 0 0 4 0.40000000000000002 -0.050000000000000003 0.089999999999999997 0.80000000000000004 0.55000000000000004 0.68948829131206057 OK no_coincident_d14_event 2 0.012050999999999999 no_d14_overlap 0.005489 0.68948829131205747 0.68948829131206368 nan nan nan 0.0069429357936465763 7.2689810949623589e-14 0
6 close-binary 0 0 6 0.40000000000000002 -0.050000000000000003 0.089999999999999997 0.80000000000000004 0.55000000000000004 0.75331945704523851 OK no_coincident_d14_event 2 0.011032 no_d14_overlap 0.004862 0.75331945704523529 0.75331945704524172 nan nan nan 0.0067399193055721618 7.5781070346204561e-14 0
11 on-axis-off 0 0 0 0.5 0 0.050000000000000003 0.40000000000000002 1.1000000000000001 0.67281005554004603 OK accepted 3 0.017165 possible_fail_open 0.0097269999999999995 0.67281005554004292 0.67281005554004913 -2.4703282292062327e-323 2.4703282292062327e-323 1.6561723112766612e-30 0 7.2413117082420697e-14 0
11 on-axis-off 0 0 2 0.5 0 0.050000000000000003 0.40000000000000002 1.1000000000000001 0.71155514818599941 OK accepted 2 0.011018999999999999 possible_fail_open 0.0080210000000000004 0.7115551481859963 0.71155514818600252 -2.4703282292062327e-323 2.4703282292062327e-323 1.4621533373614989e-30 0 7.351431884746706e-14 0
12 on-axis-off 0 0 0 0.5 0 0.050000000000000003 0.40000000000000002 1.1000000000000001 0.67281005554004603 OK accepted 3 0.012732 possible_fail_open 0.0084790000000000004 0.67281005554004292 0.67281005554004913 -2.4703282292062327e-323 2.4703282292062327e-323 1.6561723112766612e-30 0 7.2413117082420697e-14 0
