lane	row	case	u	mu_reference	policy	topology_status	topology_events	topology_cells	chart_events	projective_promotions	event_identity_unchanged	cell_plan_unchanged	value_converged	value_stop	mu	value_error	numerical_status	stop	wall_ms	grad_x	grad_y	grad_rho	grad_q	grad_a	quality_x	quality_y	quality_rho	quality_q	quality_a	gradient_a_error	nodes	panels	splits
projective_fold	1	plan15	0	0.054114109079819173	None	0	13	14	0	0	1	1	1	Converged	6.0199533684430548	0.00018847630140474074	0	Converged	1.3816679999999999	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	144	8	0
projective_fold	1	plan15	0	0.054114109079819173	ValueFirst	0	13	14	0	0	1	1	1	Converged	6.0199533684430548	0.00018847630140475343	0	Converged	0.56482299999999996	5.5616784661144214	-17.137986500958792	-10.35148557365531	-4.9880854993532946	1.2384878941294108	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.00085202122516165658	184	8	0
projective_fold	2	plan15	0.5	0.054360456007998437	None	0	13	14	0	0	1	1	1	Converged	6.120501629823929	0.00057241807511772833	0	Converged	0.497998	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	144	8	0
projective_fold	2	plan15	0.5	0.054360456007998437	ValueFirst	0	13	14	0	0	1	1	1	Converged	6.120501629823929	0.00057241807511774026	0	Converged	0.75175000000000003	7.309758019019446	-17.352260827662437	-11.441453803026395	-5.4831820988686966	1.3006760599197442	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.00097537367242434404	192	8	0
projective_fold	3	resonant	0	0.056745240814052522	None	0	15	16	2	0	1	1	1	Converged	13.73011620615307	0.0003604231103992754	0	Converged	0.57506599999999997	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	143	9	0
projective_fold	3	resonant	0	0.056745240814052522	ValueFirst	0	15	16	2	0	1	1	1	Converged	13.73011620615307	0.00036042311039929448	0	Converged	0.76613900000000001	155.52847108669567	-93.344502980549919	-97.151215128709296	-42.286494926826308	-2.8705635310823272	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.0022723942890441702	207	9	0
projective_fold	4	resonant	0.5	0.049058008880820125	None	0	15	16	2	0	1	1	1	Converged	13.877481553314679	0.00073367260155392158	0	Converged	0.65964500000000004	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	143	9	0
projective_fold	4	resonant	0.5	0.049058008880820125	ValueFirst	0	15	16	2	0	1	1	1	Converged	13.877481553314679	0.00073367260155296661	0	Converged	0.89273199999999997	166.71074322314891	-122.32031081443874	-85.563331519708015	-44.317231160946712	-2.9009584432523288	ToleranceMet	ToleranceMet	FiniteUncertified	ToleranceMet	FiniteUncertified	0.0082466509701412775	191	9	0
projective_fold	5	close-binary	0	0.042338814993854612	None	0	15	16	2	0	1	1	1	Converged	8.1331871359219665	0.00032451316869867966	0	Converged	0.39263799999999999	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	112	8	0
projective_fold	5	close-binary	0	0.042338814993854612	ValueFirst	0	15	16	2	0	1	1	1	Converged	8.1331871359219665	0.000324513168698675	0	Converged	0.51758499999999996	-50.834954463205619	40.750227419012774	-11.059390699723549	8.2684281315005954	33.087477998487493	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	0.00079550743715962424	160	8	0
projective_fold	6	close-binary	0.5	0.038246887968853116	None	0	15	16	2	0	1	1	1	Converged	8.083399716929458	0.00027321727319787813	0	Converged	0.471605	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	128	8	0
projective_fold	6	close-binary	0.5	0.038246887968853116	ValueFirst	0	15	16	2	0	1	1	1	Converged	8.083399716929458	0.00027321727319782956	0	Converged	0.58787400000000001	-51.658714890095979	50.779817870792968	-5.4495831708124625	8.3456781952350418	34.02066368737389	FiniteUncertified	ToleranceMet	FiniteUncertified	FiniteUncertified	FiniteUncertified	0.034444976024810739	128	8	0
projective_fold	7	wide-planet	0	0.013628996908664703	None	0	12	13	0	0	1	1	1	Converged	1.1591934436470936	2.8246149414946138e-05	0	Converged	0.345827	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	53	3	0
projective_fold	7	wide-planet	0	0.013628996908664703	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.1591934436470936	2.8246149414943604e-05	0	Converged	0.38141599999999998	-0.27591187622231489	-0.027827322670714139	0.002679608879312281	1.5221070549066786	-0.0043240454302161885	ToleranceMet	ToleranceMet	FiniteUncertified	ToleranceMet	FiniteUncertified	5.3706159343800428e-06	77	3	0
projective_fold	8	wide-planet	0.5	0.013606642023660243	None	0	12	13	0	0	1	1	1	Converged	1.1591902258251667	5.7448747082315809e-07	0	Converged	0.357597	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	69	3	0
projective_fold	8	wide-planet	0.5	0.013606642023660243	ValueFirst	0	12	13	0	0	1	1	1	Converged	1.1591902258251665	5.7448747036616391e-07	0	Converged	0.49413099999999999	-0.27590314071229649	-0.027833463596020167	0.0024651818009608284	1.5224415421384681	-0.004325054338036682	ToleranceMet	ToleranceMet	FiniteUncertified	ToleranceMet	ToleranceMet	2.1157042687332648e-07	93	3	0
projective_fold	9	cusp-approach	0	0.014783314953092486	None	0	10	11	0	0	1	1	1	Converged	1.5003323150038625	2.7652929293658215e-05	0	Converged	0.21498	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	76	4	0
projective_fold	9	cusp-approach	0	0.014783314953092486	ValueFirst	0	10	11	0	0	1	1	1	Converged	1.5003323150038625	2.7652929293661048e-05	0	Converged	0.30843799999999999	-1.0247141772145751	0.66953636629173352	0.028441884679996247	0.4154220532681383	0.24082098840244551	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.3538440129500824e-06	124	4	0
projective_fold	10	cusp-approach	0.5	0.01469972194172442	None	0	10	11	0	0	1	1	1	Converged	1.5002754656949193	6.5449510911857746e-05	0	Converged	0.229076	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	76	4	0
projective_fold	10	cusp-approach	0.5	0.01469972194172442	ValueFirst	0	10	11	0	0	1	1	1	Converged	1.5002754656949193	6.544951091186257e-05	0	Converged	0.39407399999999998	-1.0244981709672247	0.66945847731103436	0.026162854341140483	0.41533330116257189	0.24072922515756381	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	ToleranceMet	1.3737643434687832e-06	124	4	0
projective_fold	11	on-axis-off	0	0.015436185989528894	None	0	18	15	2	2	1	1	1	Converged	3.8270936381831029	0.00033999878491487528	0	Converged	0.68176800000000004	0	0	0	0	0	NotRequested	NotRequested	NotRequested	NotRequested	NotRequested	0	99	5	0
projective_fold	11	on-axis-off	0	0.015436185989528894	ValueFirst	0	18	15	2	2	1	1	1	Converged	3.8270936381831029	0.00033999878491487045	0	Converged	0.84324399999999999	1.1670984136360469	1.0804850038586028e-11	0.80406240152746367	-0.56133369702939884	-6.2228943908399668	FiniteUncertified	ToleranceMet	FiniteUncertified	FiniteUncertified	ToleranceMet	0.00071379280160153481	171	5	0
