row	case	u	event_index	R_chart	decision	p4_relative	contact_relative	angular_curvature_relative	radial_crossing_relative	D14_event_index	D14_delta	D14_match_budget	R_lo	uncertainty	seed_u
3	resonant	0	6	0.89362903934338711	no_coincident_d14_event	1.5440175192245896e-34	0.073271519982304065	0.29207569612346668	5.463370615723349	4	0.0009066521211827228	9.853023849249071e-30	0	inf	nan
3	resonant	0	10	0.93978051010252206	no_coincident_d14_event	2.2246861295101905e-35	0.13480716747596597	0.26202145769686902	5.2370025611080466	9	0.0020846594034300172	1.3658437568476432e-29	0	inf	nan
4	resonant	0.5	6	0.89362903934338711	no_coincident_d14_event	1.5440175192245896e-34	0.073271519982304065	0.29207569612346668	5.463370615723349	4	0.0009066521211827228	9.853023849249071e-30	0	inf	nan
4	resonant	0.5	10	0.93978051010252206	no_coincident_d14_event	2.2246861295101905e-35	0.13480716747596597	0.26202145769686902	5.2370025611080466	9	0.0020846594034300172	1.3658437568476432e-29	0	inf	nan
5	close-binary	0	4	0.68948829131206057	no_coincident_d14_event	3.5738818181059958e-35	0.099584820110105859	0.5633453611777558	0.58015723302424915	3	0.0069429357936497405	9.7587351140935543e-31	0	inf	nan
5	close-binary	0	6	0.75331945704523851	no_coincident_d14_event	2.9363933917910817e-35	0.097427197418006609	0.36518595171864771	0.90123350331645735	7	0.0067399193055754951	6.2757993889658554e-31	0	inf	nan
6	close-binary	0.5	4	0.68948829131206057	no_coincident_d14_event	3.5738818181059958e-35	0.099584820110105859	0.5633453611777558	0.58015723302424915	3	0.0069429357936497405	9.7587351140935543e-31	0	inf	nan
6	close-binary	0.5	6	0.75331945704523851	no_coincident_d14_event	2.9363933917910817e-35	0.097427197418006609	0.36518595171864771	0.90123350331645735	7	0.0067399193055754951	6.2757993889658554e-31	0	inf	nan
11	on-axis-off	0	0	0.67281005554004603	accepted	1.6483645501848763e-35	0	0.99638741760384475	0.36170644255712109	1	2.5459830899827064e-30	2.0291610533796883e-29	-3.9959938998377865e-17	1.1102230246251565e-16	0
11	on-axis-off	0	2	0.71155514818599941	accepted	2.4353382190994632e-35	0	0.99994061331815576	0.44783724594711832	3	1.1334903724400609e-27	8.9969866811397364e-27	-1.3353804821871371e-17	1.1102230246251565e-16	0
12	on-axis-off	0.5	0	0.67281005554004603	accepted	1.6483645501848763e-35	0	0.99638741760384475	0.36170644255712109	1	2.5459830899827064e-30	2.0291610533796883e-29	-3.9959938998377865e-17	1.1102230246251565e-16	0
12	on-axis-off	0.5	2	0.71155514818599941	accepted	2.4353382190994632e-35	0	0.99994061331815576	0.44783724594711832	3	1.1334903724400609e-27	8.9969866811397364e-27	-1.3353804821871371e-17	1.1102230246251565e-16	0
17	caustic-cross	0	4	0.83746378957463308	accepted	8.3976451850828933e-35	0	0.26033933474171561	1.9923199627636616	5	3.3079772724795163e-30	2.6550889564229843e-29	-4.3467064799459521e-17	1.1102230246251565e-16	0
17	caustic-cross	0	7	0.85720378575239498	accepted	4.6960573012816585e-35	0	0.17990320826779083	2.1135331147940937	8	9.227130363559247e-31	7.5548975571947237e-30	5.4270783226336782e-17	1.1102230246251565e-16	0
18	caustic-cross	0.5	4	0.83746378957463308	accepted	8.3976451850828933e-35	0	0.26033933474171561	1.9923199627636616	5	3.3079772724795163e-30	2.6550889564229843e-29	-4.3467064799459521e-17	1.1102230246251565e-16	0
18	caustic-cross	0.5	7	0.85720378575239498	accepted	4.6960573012816585e-35	0	0.17990320826779083	2.1135331147940937	8	9.227130363559247e-31	7.5548975571947237e-30	5.4270783226336782e-17	1.1102230246251565e-16	0
21	extreme-q-planet	0	1	0.61494530456379126	no_coincident_d14_event	9.8413839775000721e-38	0.0082661910171671037	0.82661106399331274	0.016654179940556822	0	0.0010605018761451748	4.5162458183579824e-30	0	inf	nan
21	extreme-q-planet	0	2	0.62112567813740649	no_coincident_d14_event	2.0713833490010694e-38	0.0082908297356555395	0.82907485615174825	0.016836127434324718	3	0.0010507511576806716	1.2036979373037457e-30	0	inf	nan
22	extreme-q-planet	0.5	1	0.61494530456379126	no_coincident_d14_event	9.8413839775000721e-38	0.0082661910171671037	0.82661106399331274	0.016654179940556822	0	0.0010605018761451748	4.5162458183579824e-30	0	inf	nan
22	extreme-q-planet	0.5	2	0.62112567813740649	no_coincident_d14_event	2.0713833490010694e-38	0.0082908297356555395	0.82907485615174825	0.016836127434324718	3	0.0010507511576806716	1.2036979373037457e-30	0	inf	nan
25	very-close	0	6	0.89387243065431898	no_coincident_d14_event	5.3461280166162108e-35	0.083094518374861842	0.14744969779181599	0.92683292976717435	5	0.011416118344472783	1.0079983483267925e-30	0	inf	nan
25	very-close	0	8	0.92649501690397407	no_coincident_d14_event	6.2585717785146103e-36	0.0017748250259376995	0.14103052850910233	1.3106506148828836	7	4.1295404550652985e-06	1.0412287563444948e-30	0	inf	nan
26	very-close	0.5	6	0.89387243065431898	no_coincident_d14_event	5.3461280166162108e-35	0.083094518374861842	0.14744969779181599	0.92683292976717435	5	0.011416118344472783	1.0079983483267925e-30	0	inf	nan
26	very-close	0.5	8	0.92649501690397407	no_coincident_d14_event	6.2585717785146103e-36	0.0017748250259376995	0.14103052850910233	1.3106506148828836	7	4.1295404550652985e-06	1.0412287563444948e-30	0	inf	nan
35	rand003	0	11	1.1379046514923594	no_coincident_d14_event	0	0.052326397122417927	0.57516369777657095	1.1389254667455946	10	0.0011720182462473597	8.5692747239036984e-31	0	inf	nan
