# V2 adaptive trajectory benchmark; value-only; radial-only topology prebuilt; full-cold D14/topology per epoch; full-warm L2 D14 warm seed; repeats median; n_r=adaptive
case_id configuration_id profile d_bin_index epoch_index trajectory_id trajectory_pos target s q rho x y time u X reference topology_status topology_cells topology_events cold_ms warm_ms radial_ms cold_topology_ms warm_topology_ms radial_topology_ms cold_adaptive_ms warm_adaptive_ms radial_adaptive_ms cold_setup_ms warm_setup_ms radial_setup_ms cold_physical_ms warm_physical_ms radial_physical_ms cold_estimator_ms warm_estimator_ms radial_estimator_ms cold_scheduler_ms warm_scheduler_ms radial_scheduler_ms cold_mu warm_mu radial_mu cold_error warm_error radial_error cold_value_converged warm_value_converged radial_value_converged cold_stop warm_stop radial_stop cold_status warm_status radial_status cold_nodes warm_nodes radial_nodes cold_evaluations warm_evaluations radial_evaluations cold_panels warm_panels radial_panels cold_splits warm_splits radial_splits warm_l1 warm_l2 warm_l3 warm_rescreen_fail warm_seed_used prebuilt_assurance prebuilt_count prebuilt_tier prebuilt_reason prebuilt_legacy prebuilt_coefficient_ms prebuilt_chain_ms prebuilt_isolation_ms prebuilt_refine_ms warm_assurance warm_count warm_tier warm_reason warm_legacy warm_attempts warm_direct warm_repaired warm_subdivisions warm_count_queries warm_sign_queries prebuilt_variation_ms prebuilt_event_ms warm_variation_ms warm_event_ms reference_contacts cold_atlas warm_atlas cold_contacts warm_contacts cold_boxes warm_boxes cold_excluded warm_excluded cold_tubes warm_tubes cold_dd warm_dd cold_qf warm_qf warm_proofs_reused warm_proofs_invalidated warm_event_updates warm_range_accepted cold_coefficient_ms cold_proof_ms cold_refine_ms warm_coefficient_ms warm_proof_ms warm_refine_ms cold_pair_attempts cold_pair_accepted warm_pair_attempts warm_pair_accepted
0 0 linear 0 0 0 0 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 OK 9 8 134.518438 134.54307 9.1888120000000004 125.233512 125.238372 0 9.2849259999999987 9.3046980000000019 9.1888120000000004 0.0077609999999999997 0.004143 0.011527000000000001 9.1588890000000074 9.1608439999999938 9.0553939999999962 0.023390999999999999 0.023973000000000001 0.022700000000000001 0.001526 0.0018080000000000001 0.0014940000000000003 7.0379171296002516 7.0379171296002516 7.0379171296002516 0.0063928823007692332 0.0063928823007692332 0.0063928823007692332 1 1 1 Converged Converged Converged OK OK OK 173 173 173 173 173 173 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1702 1702 1003 1003 1 1 106 106 0 0 0 0 0 0 11.766548000000002 112.91294900000032 0.40096100000000001 11.750224999999999 112.91202600000007 0.390795 60 60 60 60
0 0 linear 0 7 0 1 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 OK 9 8 139.72539 205.66779 12.944729000000001 126.840892 192.53690599999999 0 12.884498000000008 13.130884000000009 12.944729000000001 0.0042760000000000003 0.0073619999999999996 0.0028549999999999999 12.682002000000006 12.907842000000004 12.74672100000001 0.057689000000000004 0.065248 0.055955000000000005 0.0013930000000000001 0.0016690000000000001 0.001346 7.1651536238719293 7.1651536238716158 7.1651536238719293 0.006995300573373899 0.0069953005672901761 0.006995300573373899 1 1 1 Converged Converged Converged OK OK OK 285 285 285 285 285 285 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1698 1431 1011 1319 2 33 110 1073 0 0 971 39 0 0 12.170927000000004 114.14202999999996 0.39038600000000001 120.11932600000016 70.868338000000165 1.280278 82 82 83 83
0 0 linear 0 15 0 2 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 OK 9 8 134.666437 276.93151699999999 15.15075 119.376902 259.59659699999997 0 15.289535000000001 17.334920000000011 15.15075 0.0027759999999999998 0.0068840000000000004 0.0023029999999999999 15.079717999999998 17.062899999999992 14.945178999999996 0.057892000000000006 0.064756999999999995 0.055680999999999994 0.0014729999999999999 0.002225 0.0013739999999999998 7.2540773162667067 7.2540773162663195 7.2540773162667067 0.0039458006708990032 0.0039458006639984979 0.0039458006708990032 1 1 1 Converged Converged Converged OK OK OK 301 301 301 301 301 301 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1621 1753 944 1589 1 65 103 1362 0 0 1286 37 2 2 11.416163000000001 107.43675300000004 0.39444400000000002 153.42244700000012 103.65308299999965 2.134382 98 98 104 104
0 0 linear 0 23 0 3 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 OK 9 8 149.468751 338.837176 27.438032 122.01424 311.25617999999997 0 27.454510999999997 27.580996000000027 27.438032 0.0040549999999999996 0.0086350000000000003 0.002578 26.931037000000003 26.878471999999988 26.853187000000002 0.11428200000000001 0.12749699999999997 0.11426399999999999 0.0029380000000000001 0.0030839999999999995 0.0026890000000000009 7.2793533181578232 7.2793533181577113 7.2793533181578232 0.0021863858869117527 0.0021863858796755176 0.0021863858869117527 1 1 1 Converged Converged Converged OK OK OK 571 571 571 571 571 571 4 4 4 1 1 1 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1696 2008 971 1856 3 99 85 1622 0 0 1553 42 0 4 9.4954659999999986 111.99025200000014 0.39006800000000003 182.82840100000021 126.69455599999976 1.2018149999999999 174 174 174 174
0 0 linear 0 0 0 0 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409565850100225 0.5 -1.0576909932376057 7.037894869661673 OK 9 8 140.85918000000001 141.44689299999999 15.664637000000001 125.154419 125.454804 0 15.704761000000005 15.992088999999993 15.664637000000001 0.012657 0.015186 0.0086490000000000004 15.439887999999993 15.508406999999995 15.406450000000005 0.063735999999999987 0.089198 0.061112 0.001817 0.0021120000000000002 0.001707 7.0379174299194363 7.0379174299194363 7.0379174299194363 0.00011124134506535861 0.00011124134506535861 0.00011124134506535861 1 1 1 Converged Converged Converged OK OK OK 317 317 317 317 317 317 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1702 1702 1003 1003 1 1 106 106 0 0 0 0 0 0 11.748659999999997 112.84379799999992 0.40329900000000002 11.808795 113.044725 0.40386699999999998 101 101 101 101
0 0 linear 0 7 0 1 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1409776049087674 0.5 -1.0577120131363507 7.1651902970737442 OK 9 8 142.54208399999999 208.44171700000001 15.50271 126.918688 192.35453100000001 0 15.623395999999985 16.087186000000003 15.50271 0.0046449999999999998 0.0073309999999999998 0.0033800000000000002 15.401139999999998 15.835264 15.288553999999998 0.059493000000000004 0.067415000000000003 0.057377000000000004 0.0017460000000000002 0.0020929999999999998 0.0015149999999999999 7.1651536249215395 7.1651536249214214 7.1651536249215395 0.00058418846870230421 0.00058418846151968057 0.00058418846870230421 1 1 1 Converged Converged Converged OK OK OK 317 317 317 317 317 317 3 3 3 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1698 1431 1011 1319 2 33 110 1073 0 0 971 39 0 0 12.166939000000003 114.21925199999994 0.39261100000000004 120.08681099999993 70.773318999999802 1.2654140000000003 100 100 103 103
0 0 linear 0 15 0 2 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410016276501904 0.5 -1.0577360358777737 7.2540663721087535 OK 9 8 145.84225799999999 278.19834500000002 26.264946999999999 119.560692 251.131485 0 26.281565999999984 27.06686000000002 26.264946999999999 0.0027759999999999998 0.0076020000000000003 0.0023349999999999998 25.695916000000008 26.368932999999974 25.705087999999982 0.11821299999999998 0.120459 0.11206000000000001 0.002898 0.0033149999999999998 0.0027780000000000001 7.2540773332138224 7.2540773332141795 7.2540773332138224 0.00046190672709355815 0.00046190671892915145 0.00046190672709355815 1 1 1 Converged Converged Converged OK OK OK 587 587 587 587 587 587 4 4 4 1 1 1 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1621 1753 944 1589 1 65 103 1362 0 0 1286 37 2 2 11.511684000000002 107.51961700000003 0.39829700000000001 152.880178 95.772739000000186 2.117823 166 166 170 170
0 0 linear 0 23 0 3 0.0001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 1.1409911177008178 -4.0472265932659397 1.1410256503916132 0.5 -1.0577600586191964 7.2792531935334868 OK 9 8 152.842772 341.74477899999999 30.784631000000001 122.021897 311.12560200000001 0 30.820875000000001 30.619176999999979 30.784631000000001 0.0067250000000000001 0.008574 0.0030010000000000002 30.086185999999987 29.648410999999985 30.066681000000003 0.13329099999999999 0.143543 0.13109300000000002 0.0049629999999999995 0.0055930000000000007 0.0039659999999999999 7.2793533170457403 7.2793533170454738 7.2793533170457403 0.00052362850254864283 0.00052362849516949714 0.00052362850254864283 1 1 1 Converged Converged Converged OK OK OK 745 745 745 745 745 745 5 5 5 2 2 2 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 6 Complete Complete 6 6 1696 2008 971 1856 3 99 85 1622 0 0 1553 42 0 4 9.6209160000000029 111.8681569999998 0.39734199999999997 182.67209200000011 126.759777 1.197279 193 193 189 189
0 0 linear 1 0 1 0 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025981272914744842 0.5 0.10924686468716169 589.76910771294774 TOPOLOGY_UNCERTAIN 0 0 129.11668 129.06722300000001 0.00011400000000000001 129.11660599999999 129.067117 0 7.4000000012119926e-05 0.00010600000001659282 0.00011400000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 inf inf inf 0 0 0 TopologyUnresolved TopologyUnresolved TopologyUnresolved GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 7 BudgetExceeded BudgetExceeded 1 1 2049 2049 1040 1040 0 0 23 23 0 0 0 0 0 0 2.5480719999999999 126.42234300000007 0.067095000000000002 2.5704280000000002 126.35295999999997 0.066718 0 0 0 0
0 0 linear 1 7 1 1 0.001 0.2310772011499552 0.56332240832139935 0.00017266345397718498 -0.025946740223949404 -0.00013422659447861403 -0.025960253015999791 0.5 0.10922584478841664 593.08183624951698 TOPOLOGY_UNCERTAIN 0 0 130.146964 130.14850999999999 0.000102 130.14687799999999 130.14841300000001 0 8.6000000010244548e-05 9.6999999982472218e-05 0.000102 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 inf inf inf 0 0 0 TopologyUnresolved TopologyUnresolved TopologyUnresolved GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE GRADIENT_UNRELIABLE 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 -1 Unattempted 0 0 0 0 0 0 0 0 0 0 0 8 BudgetExceeded BudgetExceeded 1 1 2049 2049 1044 1044 0 0 26 26 0 0 0 0 0 0 2.9368480000000003 127.06300600000007 0.067225999999999994 2.9178830000000007 127.08567600000001 0.066885 0 0 0 0
