name,u,policy,warm,rtol,index,panel,cell,parent,depth,level,node_evaluations,value_error,gradient_error0,gradient_error1,gradient_error2,gradient_error3,gradient_error4,gradient_phase,value_resolved,gradient_resolved0,gradient_resolved1,gradient_resolved2,gradient_resolved3,gradient_resolved4
case9,0.5,None,0,0.001,0,0,1,-1,0,3,7,0.70279635080237357,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,1,1,2,-1,0,3,14,0.10812361867092024,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,2,2,3,-1,0,3,21,0.023220234844270656,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,3,3,4,-1,0,3,28,0.00022012982166255441,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,4,4,5,-1,0,3,35,0.22889803307153783,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,5,5,9,-1,0,3,42,0.11949517951638568,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,6,6,13,-1,0,3,49,0.39840039698138724,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,7,0,1,-1,0,4,57,0.01097531806939496,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,8,6,13,-1,0,4,65,0.0063352857542715458,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,9,4,5,-1,0,4,73,0.0017914942390576062,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,10,5,9,-1,0,4,81,0.001900408705553205,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,11,1,2,-1,0,4,89,0.0010587680587734651,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,12,2,3,-1,0,4,97,6.7985036333313657e-05,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,13,0,1,-1,0,5,113,1.1355931681578196e-07,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.001,14,6,13,-1,0,5,129,1.3280643460278918e-08,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.0001,0,0,1,-1,0,3,7,0.70279635080237357,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.0001,1,1,2,-1,0,3,14,0.10812361867092024,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.0001,2,2,3,-1,0,3,21,0.023220234844270656,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.0001,3,3,4,-1,0,3,28,0.00022012982166255441,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.0001,4,4,5,-1,0,3,35,0.22889803307153783,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.0001,5,5,9,-1,0,3,42,0.11949517951638568,0,0,0,0,0,0,1,0,0,0,0,0
case9,0.5,None,0,0.0001,6,6,13,-1,0,3,49,0.39840039698138724,0,0,0,0,0,0,1,0,0,0,0,0
