name,u,rtol,stop,mu,error,reference128,reference256,reference_uncertainty,actual_difference,reference_usable,violation
case9,0.5,0.001,Converged,7.2113120427492703,0.0050389127,7.2113117196622714,7.2113117196629277,6.56363852e-13,3.23086343e-07,1,0
case9,0.5,0.0001,Converged,7.211311742999607,0.000293883727,7.2113117196622714,7.2113117196629277,6.56363852e-13,2.33366793e-08,1,0
case9,0.5,1e-05,Converged,7.2113117202846357,6.50044006e-06,7.2113117196622714,7.2113117196629277,6.56363852e-13,6.21708018e-10,1,0
case9,0.5,1e-06,Converged,7.2113117202846357,6.50044006e-06,7.2113117196622714,7.2113117196629277,6.56363852e-13,6.21708018e-10,1,0
case9,0.5,1e-08,TopologyUnresolved,7.2113117199278509,3.26005747e-07,7.2113117196622714,7.2113117196629277,6.56363852e-13,2.64923194e-10,1,0
case92,0.5,0.001,Converged,13038.492424588148,4.20237459,13038.49241540231,13038.492417812438,2.41012822e-06,6.77571006e-06,1,0
case92,0.5,0.0001,Converged,13038.492389814232,1.06638779,13038.49241540231,13038.492417812438,2.41012822e-06,2.79982069e-05,1,0
case92,0.5,1e-05,Converged,13038.492418544098,0.00577795598,13038.49241540231,13038.492417812438,2.41012822e-06,7.31659384e-07,1,0
case92,0.5,1e-06,Converged,13038.492418544098,0.00577795598,13038.49241540231,13038.492417812438,2.41012822e-06,7.31659384e-07,1,0
case92,0.5,1e-08,TopologyUnresolved,13038.492418544933,0.00122607776,13038.49241540231,13038.492417812438,2.41012822e-06,7.324943e-07,1,0
