variant	lane	cases	p50_ms	p90_ms	p95_ms	p99_ms	max_ms	status_ok	status_bad	max_mu_ref	max_grad_ref	decision	evidence
current_v2	cold_value	108	0.880494	1.539505	1.684426	1.815794	1.825471	104	4	2.044e-13	0	baseline	v2_phase8_whole_direct_default.txt
current_v2	cold_value+5Jac	108	1.038950	1.838637	1.944592	2.136173	2.140942	104	4	2.044e-13	1.218e-4	baseline	v2_phase8_whole_direct_default.txt
current_v2	warm_value_steady	756	0.800960	1.340563	1.474118	1.908136	2.680696	728	28	5.839e-14	0	baseline	v2_phase8_whole_direct_default.txt
current_v2	warm_value+5Jac_steady	756	0.893731	1.534682	1.806424	2.467865	3.294787	728	28	5.839e-14	1.379e-3	baseline	v2_phase8_whole_direct_default.txt
reciprocal_ab	cold_value	108	0.876877	1.437368	1.529694	1.604207	1.699727	104	4	2.044e-13	0	research_rejected_below_15pct	v2_phase8_whole_direct_reciprocal.txt
reciprocal_ab	cold_value+5Jac	108	1.018166	1.633586	1.690866	1.964545	1.985342	104	4	2.044e-13	1.218e-4	research_rejected_below_15pct	v2_phase8_whole_direct_reciprocal.txt
reciprocal_ab	warm_value_steady	756	0.796431	1.262284	1.422731	1.744757	2.634405	728	28	1.269e-13	0	research_rejected_below_15pct	v2_phase8_whole_direct_reciprocal.txt
reciprocal_ab	warm_value+5Jac_steady	756	0.864643	1.414569	1.600454	2.405159	3.231893	728	28	1.269e-13	1.379e-3	research_rejected_below_15pct	v2_phase8_whole_direct_reciprocal.txt
horner_ab	cold_value	108	1.053063	1.666796	1.944407	3.646022	3.974123	104	4	2.157e-13	0	rejected	v2_phase8_whole_value_lane_d14_horner.txt
horner_ab	cold_value+5Jac	108	1.175896	2.075728	2.496109	4.055619	4.177258	104	4	2.157e-13	1.218e-4	rejected	v2_phase8_whole_value_lane_d14_horner.txt
horner_ab	warm_value_steady	324	1.002188	1.509278	1.793927	2.614506	2.925827	308	16	5.839e-14	0	rejected	v2_phase8_whole_value_lane_d14_horner.txt
horner_ab	warm_value+5Jac_steady	324	1.064830	1.752489	2.339407	3.456699	3.628312	308	16	5.839e-14	7.525e-3	rejected	v2_phase8_whole_value_lane_d14_horner.txt
lifted_ab	cold_value	108	0.994296	1.636392	1.835406	2.061345	2.090599	104	4	2.044e-13	0	rejected	v2_phase8_whole_value_lane_d14_lifted.txt
lifted_ab	cold_value+5Jac	108	1.069842	2.008787	2.184332	2.368806	2.377858	104	4	2.044e-13	1.218e-4	rejected	v2_phase8_whole_value_lane_d14_lifted.txt
lifted_ab	warm_value_steady	324	0.888163	1.395913	1.668936	2.552368	2.948264	308	16	5.839e-14	0	rejected	v2_phase8_whole_value_lane_d14_lifted.txt
lifted_ab	warm_value+5Jac_steady	324	0.985297	1.687092	2.209613	3.480553	3.670856	308	16	5.839e-14	1.379e-3	rejected	v2_phase8_whole_value_lane_d14_lifted.txt
hybrid_ab	cold_value	108	1.751592	2.222253	2.482787	2.735994	2.777164	104	4	2.044e-13	0	rejected	v2_phase8_whole_value_lane_d14_hybrid.txt
hybrid_ab	cold_value+5Jac	108	1.824539	2.529557	2.769491	2.945866	2.970676	104	4	2.044e-13	1.218e-4	rejected	v2_phase8_whole_value_lane_d14_hybrid.txt
hybrid_ab	warm_value_steady	324	1.610095	2.049594	2.286558	2.668679	3.560014	308	16	5.839e-14	0	rejected	v2_phase8_whole_value_lane_d14_hybrid.txt
hybrid_ab	warm_value+5Jac_steady	324	1.705005	2.202132	2.536205	3.576896	4.200859	308	16	5.839e-14	1.379e-3	rejected	v2_phase8_whole_value_lane_d14_hybrid.txt
k_gate_strict	cold_value	108	0.883930	1.556653	1.678659	1.791443	1.819171	104	4	2.172e-13	0	rejected	v2_phase8_whole_value_lane_k_strict.txt
k_gate_strict	cold_value+5Jac	108	1.047731	1.841199	1.948267	2.102583	2.121790	104	4	2.172e-13	1.218e-4	rejected	v2_phase8_whole_value_lane_k_strict.txt
k_gate_strict	warm_value_steady	324	0.804564	1.301353	1.499239	2.300022	2.800284	308	16	5.839e-14	0	rejected	v2_phase8_whole_value_lane_k_strict.txt
k_gate_strict	warm_value+5Jac_steady	324	0.903046	1.547979	1.954712	3.322729	3.425067	308	16	5.839e-14	1.379e-3	rejected	v2_phase8_whole_value_lane_k_strict.txt
presearch_120	cold_value	108	0.836804	1.446783	1.609422	1.728999	1.770808	104	4	2.044e-13	0	research_only_no_15pct_warm_win	v2_phase8_whole_value_lane_pre120.txt
presearch_120	cold_value+5Jac	108	0.989102	1.755743	1.881109	2.082503	2.109057	104	4	2.044e-13	1.218e-4	research_only_no_15pct_warm_win	v2_phase8_whole_value_lane_pre120.txt
presearch_120	warm_value_steady	324	0.804627	1.303094	1.505202	2.314773	2.781450	308	16	5.839e-14	0	research_only_no_15pct_warm_win	v2_phase8_whole_value_lane_pre120.txt
presearch_120	warm_value+5Jac_steady	324	0.915728	1.549720	1.962397	3.289244	3.461453	308	16	5.839e-14	1.379e-3	research_only_no_15pct_warm_win	v2_phase8_whole_value_lane_pre120.txt
