case_id configuration_id profile d_bin_index epoch_index topology_status topology_cells empty_cells arc_cells full_cells degenerate_cells physical_events
0 0 linear 0 0 OK 13 8 5 0 0 6
0 0 linear 0 7 OK 13 8 5 0 0 6
0 0 linear 0 15 OK 13 8 5 0 0 6
0 0 linear 0 23 OK 13 8 5 0 0 6
0 0 linear 1 0 OK 15 8 7 0 0 8
0 0 linear 1 7 OK 15 8 7 0 0 8
0 0 linear 1 15 OK 16 8 8 0 0 8
0 0 linear 1 23 OK 16 8 8 0 0 8
0 0 linear 2 0 OK 13 10 3 0 0 6
0 0 linear 2 7 OK 13 10 3 0 0 6
0 0 linear 2 15 OK 13 10 3 0 0 6
0 0 linear 2 23 OK 13 10 3 0 0 6
0 0 linear 3 0 OK 15 10 5 0 0 10
0 0 linear 3 7 OK 15 10 5 0 0 10
0 0 linear 3 15 OK 15 10 5 0 0 10
0 0 linear 3 23 OK 15 10 5 0 0 10
0 0 linear 4 0 OK 13 9 4 0 0 6
0 0 linear 4 7 OK 13 9 4 0 0 6
0 0 linear 4 15 OK 13 9 4 0 0 6
0 0 linear 4 23 OK 13 10 3 0 0 6
0 0 uniform 0 0 OK 13 8 5 0 0 6
0 0 uniform 0 7 OK 13 8 5 0 0 6
0 0 uniform 0 15 OK 13 8 5 0 0 6
0 0 uniform 0 23 OK 13 8 5 0 0 6
0 0 uniform 1 0 OK 15 8 7 0 0 8
0 0 uniform 1 7 OK 15 8 7 0 0 8
0 0 uniform 1 15 OK 16 8 8 0 0 8
0 0 uniform 1 23 OK 16 8 8 0 0 8
0 0 uniform 2 0 OK 13 10 3 0 0 6
0 0 uniform 2 7 OK 13 10 3 0 0 6
0 0 uniform 2 15 OK 13 10 3 0 0 6
0 0 uniform 2 23 OK 13 10 3 0 0 6
0 0 uniform 3 0 OK 15 10 5 0 0 10
0 0 uniform 3 7 OK 15 10 5 0 0 10
0 0 uniform 3 15 OK 15 10 5 0 0 10
0 0 uniform 3 23 OK 15 10 5 0 0 10
0 0 uniform 4 0 OK 13 9 4 0 0 6
0 0 uniform 4 7 OK 13 9 4 0 0 6
0 0 uniform 4 15 OK 13 9 4 0 0 6
0 0 uniform 4 23 OK 13 10 3 0 0 6
1 1 linear 0 0 OK 14 9 5 0 0 8
1 1 linear 0 7 OK 14 9 5 0 0 8
1 1 linear 0 15 OK 14 9 5 0 0 8
1 1 linear 0 23 OK 14 9 5 0 0 8
1 1 linear 1 0 OK 14 9 5 0 0 8
1 1 linear 1 7 OK 14 9 5 0 0 8
1 1 linear 1 15 OK 14 9 5 0 0 8
1 1 linear 1 23 OK 14 9 5 0 0 8
1 1 linear 2 0 OK 14 8 6 0 0 8
1 1 linear 2 7 OK 15 9 6 0 0 10
1 1 linear 2 15 OK 15 9 6 0 0 10
1 1 linear 2 23 OK 15 9 6 0 0 10
1 1 linear 3 0 OK 15 10 5 0 0 10
1 1 linear 3 7 OK 15 10 5 0 0 10
1 1 linear 3 15 OK 15 10 5 0 0 10
1 1 linear 3 23 OK 15 10 5 0 0 10
1 1 linear 4 0 OK 13 10 3 0 0 6
1 1 linear 4 7 OK 13 10 3 0 0 6
1 1 linear 4 15 OK 13 10 3 0 0 6
1 1 linear 4 23 OK 13 10 3 0 0 6
1 1 uniform 0 0 OK 14 9 5 0 0 8
1 1 uniform 0 7 OK 14 9 5 0 0 8
1 1 uniform 0 15 OK 14 9 5 0 0 8
1 1 uniform 0 23 OK 14 9 5 0 0 8
1 1 uniform 1 0 OK 14 9 5 0 0 8
1 1 uniform 1 7 OK 14 9 5 0 0 8
1 1 uniform 1 15 OK 14 9 5 0 0 8
1 1 uniform 1 23 OK 14 9 5 0 0 8
1 1 uniform 2 0 OK 14 8 6 0 0 8
1 1 uniform 2 7 OK 15 9 6 0 0 10
1 1 uniform 2 15 OK 15 9 6 0 0 10
1 1 uniform 2 23 OK 15 9 6 0 0 10
1 1 uniform 3 0 OK 15 10 5 0 0 10
1 1 uniform 3 7 OK 15 10 5 0 0 10
1 1 uniform 3 15 OK 15 10 5 0 0 10
1 1 uniform 3 23 OK 15 10 5 0 0 10
1 1 uniform 4 0 OK 13 10 3 0 0 6
1 1 uniform 4 7 OK 13 10 3 0 0 6
1 1 uniform 4 15 OK 13 10 3 0 0 6
1 1 uniform 4 23 OK 13 10 3 0 0 6
2 2 linear 0 0 OK 14 7 7 0 0 8
2 2 linear 0 7 OK 14 7 7 0 0 8
2 2 linear 0 15 OK 14 7 7 0 0 8
2 2 linear 0 23 OK 14 7 7 0 0 8
2 2 linear 1 0 OK 14 7 7 0 0 8
2 2 linear 1 7 OK 14 7 7 0 0 8
2 2 linear 1 15 OK 14 7 7 0 0 8
2 2 linear 1 23 OK 14 7 7 0 0 8
2 2 linear 2 0 OK 13 10 3 0 0 6
2 2 linear 2 7 OK 13 10 3 0 0 6
2 2 linear 2 15 OK 13 10 3 0 0 6
2 2 linear 2 23 OK 13 10 3 0 0 6
2 2 linear 3 0 OK 13 8 5 0 0 6
2 2 linear 3 7 OK 13 9 4 0 0 6
2 2 linear 3 15 OK 13 9 4 0 0 6
2 2 linear 3 23 OK 13 9 4 0 0 6
2 2 linear 4 0 OK 13 10 3 0 0 6
2 2 linear 4 7 OK 13 10 3 0 0 6
