case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations nested_error boundary_backstop
0 0 uniform 0.001 0 0 cartesian 13 54.477192000000002 6.8139796130518482 6.8139830013407305 4.9725525902968258e-07 1 3 91 0.0077551402962381388 1
0 0 uniform 0.001 0 7 cartesian 13 0.161911 6.9189184578625174 6.9223164812350113 0.00049087951724040659 1 3 2704 0.00075571544743269214 0
0 0 uniform 0.001 0 15 cartesian 13 0.14977099999999999 7.0012803828664705 7.0045095553354182 0.00046101335767156134 1 3 2704 0.0006065651814877171 0
0 0 uniform 0.001 0 23 cartesian 25 54.650106999999998 7.0403853999291792 7.0403851828477153 3.0833748193865337e-08 1 3 107 0.010001699060627978 1
0 0 uniform 0.0001 0 0 cartesian 75 55.409593000000001 6.813982380612158 6.8139830013407305 9.1096290146339689e-08 1 3 123 0.00075215782193893688 1
0 0 uniform 0.0001 0 7 cartesian 75 55.309356000000001 6.922315671371285 6.9223164812350113 1.169931667381261e-07 1 3 139 0.00069617194402926685 1
0 0 uniform 0.0001 0 15 cartesian 38 54.701715999999998 7.0045090891845048 7.0045095553354182 6.655011457156121e-08 1 3 139 0.0023538817812589485 1
0 0 uniform 0.0001 0 23 cartesian 38 55.180883999999999 7.0403849122295501 7.0403851828477153 3.8437977210312688e-08 1 3 171 0.0027141343236793958 1
0 0 linear 0.001 0 0 cartesian 13 54.571620000000003 7.037916549943767 7.037894869661673 3.0805066707512405e-06 1 3 107 0.0022465288416011475 1
0 0 linear 0.001 0 7 cartesian 13 0.17735799999999999 7.163638657359737 7.1651902970737442 0.00021655247797687497 1 3 2704 0.0013609374404337515 0
0 0 linear 0.001 0 15 cartesian 13 0.169045 7.2522641072796592 7.2540663721087535 0.00024844890253883541 1 3 2704 0.00080411571460725639 0
0 0 linear 0.001 0 23 cartesian 13 54.683974999999997 7.2793538566257574 7.2792531935334868 1.382876643995023e-05 1 3 123 0.0025091571229403087 1
0 0 linear 0.0001 0 0 cartesian 75 55.650736000000002 7.0379174403246445 7.037894869661673 3.2070190574750059e-06 1 3 139 0.00074372674836187258 1
0 0 linear 0.0001 0 7 cartesian 38 54.599384999999998 7.1651536137638754 7.1651902970737442 5.1196560520962065e-06 1 3 139 0.0006224453003946806 1
0 0 linear 0.0001 0 15 cartesian 38 55.231563999999999 7.2540774126046532 7.2540663721087535 1.5219733778805254e-06 1 3 155 0.00087085961481037089 1
