case_id configuration_id profile target d_bin_index epoch_index method nbin ms mu reference relerr converged point_images estimated_evaluations
0 0 uniform 0.001 0 0 cartesian 13 0.101741 6.8144768134083336 6.8139830013407305 7.247039910517144e-05 1 3 2704
0 0 uniform 0.001 0 7 cartesian 13 0.096098000000000003 6.9189184578625174 6.9223164812350113 0.00049087951724040659 1 3 2704
0 0 uniform 0.001 0 15 cartesian 13 0.095689999999999997 7.0012803828664705 7.0045095553354182 0.00046101335767156134 1 3 2704
0 0 uniform 0.001 0 23 cartesian 25 0.22733200000000001 7.041154937003296 7.0403851828477153 0.00010933409686958612 1 3 10000
0 0 uniform 0.0001 0 0 cartesian 75 0.86970800000000004 6.8139900837461367 6.8139830013407305 1.0393928785485878e-06 1 3 90000
0 0 uniform 0.0001 0 7 cartesian 75 0.85968199999999995 6.9217795835692124 6.9223164812350113 7.7560404418711094e-05 1 3 90000
0 0 uniform 0.0001 0 15 cartesian 38 0.31334099999999998 7.0043962496582992 7.0045095553354182 1.6176104297362792e-05 1 3 23104
0 0 uniform 0.0001 0 23 cartesian 38 0.34031800000000001 7.0403991633639942 7.0403851828477153 1.9857601417800058e-06 1 3 23104
0 0 linear 0.001 0 0 cartesian 13 0.10539800000000001 7.03786017311708 7.037894869661673 4.9299606253780952e-06 1 3 2704
0 0 linear 0.001 0 7 cartesian 13 0.102447 7.163638657359737 7.1651902970737442 0.00021655247797687497 1 3 2704
0 0 linear 0.001 0 15 cartesian 13 0.10438600000000001 7.2522641072796592 7.2540663721087535 0.00024844890253883541 1 3 2704
0 0 linear 0.001 0 23 cartesian 13 0.11458599999999999 7.2741616679796923 7.2792531935334868 0.00069945713089324731 1 3 2704
0 0 linear 0.0001 0 0 cartesian 75 1.060627 7.037920736038819 7.037894869661673 3.6753003028603176e-06 1 3 90000
0 0 linear 0.0001 0 7 cartesian 38 0.375253 7.1651853793053109 7.1651902970737442 6.8634163636576084e-07 1 3 23104
0 0 linear 0.0001 0 15 cartesian 38 0.37024000000000001 7.2540157821512103 7.2540663721087535 6.9740136012071234e-06 1 3 23104
0 0 linear 0.0001 0 23 cartesian 38 0.38106800000000002 7.2794862831756415 7.2792531935334868 3.2021092817846031e-05 1 3 23104
1 1 uniform 0.001 0 0 cartesian 13 0.43956200000000001 41.916544079290311 41.922291611726415 0.00013709967215856848 1 5 2704
1 1 uniform 0.001 0 7 cartesian 13 0.45713500000000001 43.992018476162698 43.987614774812329 0.00010011230144925501 1 5 2704
1 1 uniform 0.001 0 15 cartesian 13 0.48325899999999999 45.916242667702903 45.910506501119002 0.00012494235026052849 1 5 2704
1 1 uniform 0.001 0 23 cartesian 13 0.50714300000000001 47.304721579836503 47.308639293138114 8.2811794212379812e-05 1 5 2704
1 1 uniform 0.0001 0 0 cartesian 38 1.8170949999999999 41.923314448822381 41.922291611726415 2.4398406113861303e-05 1 5 23104
1 1 uniform 0.0001 0 7 cartesian 38 1.836438 43.988423741953689 43.987614774812329 1.8390793533620963e-05 1 5 23104
1 1 uniform 0.0001 0 15 cartesian 38 1.9020319999999999 45.908468270816783 45.910506501119002 4.4395726763963197e-05 1 5 23104
1 1 uniform 0.0001 0 23 cartesian 38 1.999994 47.309957874921942 47.308639293138114 2.7871902543156935e-05 1 5 23104
1 1 linear 0.001 0 0 cartesian 13 0.48331000000000002 43.383112802908165 43.386794945871657 8.4867825984495643e-05 1 5 2704
1 1 linear 0.001 0 7 cartesian 13 0.51055799999999996 45.584458241001755 45.580707217466554 8.2294105646615122e-05 1 5 2704
1 1 linear 0.001 0 15 cartesian 13 0.52599499999999999 47.4834633084646 47.481930950681516 3.2272440324210177e-05 1 5 2704
1 1 linear 0.001 0 23 cartesian 13 0.54899200000000004 48.66165109068907 48.662925139508665 2.6181098155185466e-05 1 5 2704
1 1 linear 0.0001 0 0 cartesian 38 2.1007899999999999 43.387055010241092 43.386794945871657 5.9940903622748024e-06 1 5 23104
1 1 linear 0.0001 0 7 cartesian 38 2.177025 45.581130734517004 45.580707217466554 9.2915857674051399e-06 1 5 23104
1 1 linear 0.0001 0 15 cartesian 38 2.286295 47.481084521740605 47.481930950681516 1.7826337808157778e-05 1 5 23104
1 1 linear 0.0001 0 23 cartesian 38 2.4055740000000001 48.663950312307513 48.662925139508665 2.1066814128178766e-05 1 5 23104
2 2 uniform 0.001 0 0 cartesian 13 0.122139 7.2279915245383233 7.2317914197011035 0.00052544313604350112 1 5 2704
2 2 uniform 0.001 0 7 cartesian 13 0.121549 7.2607899836592162 7.2644465975731922 0.00050335753245092792 1 5 2704
2 2 uniform 0.001 0 15 cartesian 13 0.125252 7.2776312939979828 7.2800314882096355 0.00032969558106169574 1 3 2704
2 2 uniform 0.001 0 23 cartesian 13 0.12281400000000001 7.2734767474962041 7.2716090302734999 0.00025685061104473747 1 3 2704
2 2 uniform 0.0001 0 0 cartesian 38 0.41596 7.2321022295958395 7.2317914197011035 4.2978271454187078e-05 1 5 23104
2 2 uniform 0.0001 0 7 cartesian 38 0.39155899999999999 7.2640906397427587 7.2644465975731922 4.8999992725176223e-05 1 5 23104
2 2 uniform 0.0001 0 15 cartesian 75 1.011366 7.2805442826026114 7.2800314882096355 7.0438485576114344e-05 1 3 90000
2 2 uniform 0.0001 0 23 cartesian 38 0.39625300000000002 7.2714088088692748 7.2716090302734999 2.7534676767079024e-05 1 3 23104
2 2 linear 0.001 0 0 cartesian 13 0.12761700000000001 7.3012012267500515 7.3041753419112512 0.00040718014313461103 1 5 2704
2 2 linear 0.001 0 7 cartesian 13 0.12598200000000001 7.3356407572803457 7.3383054628708386 0.00036312274052577461 1 5 2704
2 2 linear 0.001 0 15 cartesian 13 0.127633 7.3444883518396233 7.3461980917565866 0.00023273806336392855 1 3 2704
2 2 linear 0.001 0 23 cartesian 13 0.12693499999999999 7.3223050274750356 7.3204056335162262 0.00025946567087937555 1 3 2704
2 2 linear 0.0001 0 0 cartesian 38 0.44543500000000003 7.3042638708766461 7.3041753419112512 1.2120323137223907e-05 1 5 23104
2 2 linear 0.0001 0 7 cartesian 38 0.45852700000000002 7.3380473613591128 7.3383054628708386 3.5171813578990872e-05 1 5 23104
2 2 linear 0.0001 0 15 cartesian 75 1.2367570000000001 7.3465431861128385 7.3461980917565866 4.6975912157773756e-05 1 3 90000
2 2 linear 0.0001 0 23 cartesian 38 0.45471099999999998 7.3203360353342015 7.3204056335162262 9.5074215158275207e-06 1 3 23104
3 3 uniform 0.001 0 0 cartesian 25 0.074601000000000001 1.3265029248850808 1.325696589946822 0.00060823490410510353 1 3 10000
3 3 uniform 0.001 0 7 cartesian 25 0.060926000000000001 1.3210644938698808 1.3213735326496301 0.00023387692587546917 1 3 10000
3 3 uniform 0.001 0 15 cartesian 13 0.040066999999999998 1.3130393143246932 1.3130745633955572 2.684468334592374e-05 1 3 2704
3 3 uniform 0.001 0 23 cartesian 25 0.062453000000000002 1.3005940283909343 1.3007094436091542 8.8732513465609105e-05 1 3 10000
3 3 uniform 0.0001 0 0 cartesian 75 0.20760899999999999 1.3256803719366308 1.325696589946822 1.2233576154781826e-05 1 3 90000
3 3 uniform 0.0001 0 7 cartesian 224 1.099221 1.321316336244831 1.3213735326496301 4.3285568679716168e-05 1 3 802816
3 3 uniform 0.0001 0 15 cartesian 75 0.19717199999999999 1.3130241106821319 1.3130745633955572 3.8423342308016989e-05 1 3 90000
3 3 uniform 0.0001 0 23 cartesian 75 0.19986499999999999 1.3007802979916483 1.3007094436091542 5.4473643473747104e-05 1 3 90000
3 3 linear 0.001 0 0 cartesian 25 0.078992999999999994 1.348210994657159 1.3475250893528099 0.00050901115665201837 1 3 10000
3 3 linear 0.001 0 7 cartesian 25 0.066707000000000002 1.3407867151662611 1.341065909833689 0.00020818862472053848 1 3 10000
3 3 linear 0.001 0 15 cartesian 13 0.046260000000000003 1.3273225606768742 1.3288137906694035 0.0011222264571608279 1 3 2704
3 3 linear 0.001 0 23 cartesian 25 0.074052000000000007 1.3108033063699236 1.3110839032849007 0.00021401903743462118 1 3 10000
3 3 linear 0.0001 0 0 cartesian 75 0.27955999999999998 1.3475243841333531 1.3475250893528099 5.2334421258904567e-07 1 3 90000
3 3 linear 0.0001 0 7 cartesian 75 0.25642999999999999 1.3409662185155902 1.341065909833689 7.4337374000656714e-05 1 3 90000
3 3 linear 0.0001 0 15 cartesian 75 0.233351 1.3287970292032649 1.3288137906694035 1.2613856250062098e-05 1 3 90000
3 3 linear 0.0001 0 23 cartesian 75 0.23491400000000001 1.3111456993527675 1.3110839032849007 4.7133572238967329e-05 1 3 90000
4 4 uniform 0.001 0 0 polar 27 7.4175329999999997 1345.1347914225073 1345.3071782185129 0.0001281393564211247 1 5 9288
4 4 uniform 0.001 0 7 polar 27 7.2935410000000003 1303.1009112446404 1303.2936209863133 0.00014786364221364259 1 5 9288
4 4 uniform 0.001 0 15 polar 27 7.0154120000000004 1250.3839439305798 1250.5662237252786 0.0001457578105346989 1 5 9288
4 4 uniform 0.001 0 23 polar 27 6.7223069999999998 1193.6023410133942 1193.8120252778369 0.00017564261374732358 1 3 9288
4 4 uniform 0.0001 0 0 polar 100 71.452301000000006 1345.3045739296053 1345.3071782185129 1.9358321651519643e-06 1 5 126400
4 4 uniform 0.0001 0 7 polar 100 70.086494999999999 1303.2913197172313 1303.2936209863133 1.7657334041216239e-06 1 5 126400
4 4 uniform 0.0001 0 15 polar 100 67.052775999999994 1250.5639547103704 1250.5662237252786 1.8143900460705102e-06 1 5 126400
4 4 uniform 0.0001 0 23 polar 100 63.785249999999998 1193.8087445971817 1193.8120252778369 2.7480713762422945e-06 1 3 126400
4 4 linear 0.001 0 0 polar 27 8.3773800000000005 1410.7280523563682 1410.8375122183993 7.7585023848019096e-05 1 5 9288
4 4 linear 0.001 0 7 polar 27 8.0707830000000005 1366.1426882119042 1366.2442979025279 7.4371538662382911e-05 1 5 9288
4 4 linear 0.001 0 15 polar 27 7.7694879999999999 1308.8516286929359 1308.9799442537778 9.8027140450218135e-05 1 5 9288
4 4 linear 0.001 0 23 polar 27 7.5063680000000002 1246.2819674864393 1246.4261413689471 0.00011566981606267619 1 3 9288
4 4 linear 0.0001 0 0 polar 100 83.073736999999994 1410.8364064133939 1410.8375122183993 7.8379331130070697e-07 1 5 126400
4 4 linear 0.0001 0 7 polar 100 80.482894999999999 1366.2504513202869 1366.2442979025279 4.503892728680032e-06 1 5 126400
4 4 linear 0.0001 0 15 polar 100 77.760925 1308.9567413448613 1308.9799442537778 1.7725946847719659e-05 1 5 126400
4 4 linear 0.0001 0 23 polar 100 74.793335999999996 1246.4083568421734 1246.4261413689471 1.4268416060524791e-05 1 3 126400
5 5 uniform 0.001 0 0 cartesian 13 0.060634 1.2708510358912926 1.2705432920063231 0.00024221440300825774 1 3 2704
5 5 uniform 0.001 0 7 cartesian 25 0.086489999999999997 1.2744612969399556 1.2735764097459048 0.00069480495027960114 1 3 10000
5 5 uniform 0.001 0 15 cartesian 25 0.090995999999999994 1.2757778816847281 1.2752603728123326 0.00040580644033827445 1 3 10000
5 5 uniform 0.001 0 23 cartesian 13 0.069296999999999997 1.275721324069921 1.2752277558838852 0.00038704316445320111 1 3 2704
5 5 uniform 0.0001 0 0 cartesian 149 0.58902900000000002 1.270520735734747 1.2705432920063231 1.7753249116354858e-05 1 3 355216
5 5 uniform 0.0001 0 7 cartesian 149 0.55541300000000005 1.2735622252588159 1.2735764097459048 1.1137523418581068e-05 1 3 355216
5 5 uniform 0.0001 0 15 cartesian 149 0.54295300000000002 1.275328960279033 1.2752603728123326 5.3783108267606465e-05 1 3 355216
5 5 uniform 0.0001 0 23 cartesian 149 0.54218699999999997 1.275146352935709 1.2752277558838852 6.3834046742289522e-05 1 3 355216
5 5 linear 0.001 0 0 cartesian 13 0.071383000000000002 1.3028518522740091 1.3033867561632548 0.00041039536938390452 1 3 2704
5 5 linear 0.001 0 7 cartesian 13 0.063566999999999999 1.3099006175749199 1.3101297305520578 0.00017487808405153822 1 3 2704
